inst#	actual	predicted	error	distribution	
64	2:1	2:1		0.495	*0.505
65	2:1	2:1		0.1	*0.9
66	2:1	2:1		0.265	*0.735
67	2:1	2:1		0.41	*0.59
68	2:1	2:1		0.15	*0.85
69	2:1	2:1		0.48	*0.52
70	2:1	2:1		0.12	*0.88
71	2:1	2:1		0.335	*0.665
72	2:1	2:1		0.125	*0.875
73	2:1	2:1		0.28	*0.72
74	2:1	2:1		0.41	*0.59
75	2:1	2:1		0.185	*0.815
76	2:1	2:1		0.37	*0.63
77	2:1	2:1		0.42	*0.58
78	2:1	1:-1	+	*0.645	0.355
79	2:1	2:1		0.385	*0.615
80	2:1	2:1		0.25	*0.75
81	2:1	2:1		0.25	*0.75
82	2:1	2:1		0.255	*0.745
83	2:1	2:1		0.25	*0.75
84	2:1	1:-1	+	*0.58	0.42
85	2:1	2:1		0.35	*0.65
86	2:1	2:1		0.35	*0.65
87	2:1	2:1		0.415	*0.585
88	2:1	2:1		0.225	*0.775
89	2:1	2:1		0.355	*0.645
90	2:1	2:1		0.365	*0.635
91	2:1	2:1		0.185	*0.815
92	2:1	2:1		0.25	*0.75
93	2:1	2:1		0.49	*0.51
94	2:1	2:1		0.345	*0.655
95	2:1	2:1		0.46	*0.54
96	2:1	2:1		0.435	*0.565
97	2:1	1:-1	+	*0.585	0.415
98	2:1	2:1		0.235	*0.765
99	2:1	2:1		0.305	*0.695
100	1:-1	2:1	+	0.335	*0.665
101	1:-1	2:1	+	0.31	*0.69
102	1:-1	1:-1		*0.585	0.415
103	1:-1	1:-1		*0.855	0.145
104	1:-1	1:-1		*0.71	0.29
105	1:-1	1:-1		*0.775	0.225
106	1:-1	2:1	+	0.43	*0.57
107	1:-1	2:1	+	0.29	*0.71
108	1:-1	2:1	+	0.28	*0.72
109	1:-1	1:-1		*0.89	0.11
110	1:-1	1:-1		*0.58	0.42
111	1:-1	1:-1		*0.825	0.175
112	1:-1	2:1	+	0.33	*0.67
113	1:-1	1:-1		*0.55	0.45
114	1:-1	1:-1		*0.565	0.435
115	1:-1	2:1	+	0.43	*0.57
116	1:-1	1:-1		*0.715	0.285
117	1:-1	2:1	+	0.455	*0.545
118	1:-1	1:-1		*0.7	0.3
119	1:-1	1:-1		*0.705	0.295
120	1:-1	1:-1		*0.57	0.43
121	1:-1	1:-1		*0.58	0.42
122	1:-1	2:1	+	0.35	*0.65
123	1:-1	1:-1		*0.575	0.425
124	1:-1	1:-1		*0.65	0.35
125	1:-1	2:1	+	0.395	*0.605
126	1:-1	1:-1		*0.705	0.295
127	1:-1	1:-1		*0.92	0.08
128	1:-1	1:-1		*0.665	0.335
129	1:-1	1:-1		*0.55	0.45
130	1:-1	2:1	+	0.375	*0.625
131	1:-1	1:-1		*0.675	0.325
132	1:-1	1:-1		*0.85	0.15
133	1:-1	2:1	+	0.325	*0.675
134	1:-1	1:-1		*0.805	0.195
135	1:-1	1:-1		*0.84	0.16
136	1:-1	1:-1		*0.63	0.37
137	1:-1	1:-1		*0.55	0.45
138	1:-1	1:-1		*0.515	0.485
139	1:-1	2:1	+	0.425	*0.575
140	1:-1	1:-1		*0.72	0.28
141	1:-1	1:-1		*0.84	0.16
142	1:-1	1:-1		*0.58	0.42
143	1:-1	2:1	+	0.42	*0.58
144	1:-1	1:-1		*0.815	0.185
145	1:-1	1:-1		*0.915	0.085
146	1:-1	1:-1		*0.825	0.175
147	1:-1	1:-1		*0.96	0.04
148	1:-1	1:-1		*0.835	0.165
149	1:-1	1:-1		*0.975	0.025
150	1:-1	2:1	+	0.455	*0.545
151	1:-1	1:-1		*0.67	0.33
152	1:-1	1:-1		*0.885	0.115
153	1:-1	1:-1		*0.71	0.29
154	1:-1	1:-1		*0.77	0.23
155	1:-1	1:-1		*0.845	0.155
156	1:-1	2:1	+	0.48	*0.52
157	1:-1	1:-1		*0.545	0.455
158	1:-1	1:-1		*0.82	0.18
159	1:-1	1:-1		*0.755	0.245
160	1:-1	1:-1		*0.96	0.04
161	1:-1	1:-1		*0.935	0.065
162	1:-1	1:-1		*0.93	0.07
163	1:-1	1:-1		*0.5	0.5
164	1:-1	1:-1		*0.685	0.315
165	1:-1	2:1	+	0.28	*0.72
166	1:-1	1:-1		*0.975	0.025
167	1:-1	2:1	+	0.38	*0.62
168	1:-1	1:-1		*0.84	0.16
169	1:-1	1:-1		*0.805	0.195
170	1:-1	1:-1		*0.865	0.135
171	1:-1	1:-1		*0.73	0.27
172	1:-1	1:-1		*0.735	0.265
173	1:-1	1:-1		*0.735	0.265
174	1:-1	2:1	+	0.375	*0.625
175	1:-1	1:-1		*0.585	0.415
176	1:-1	1:-1		*0.79	0.21
177	1:-1	2:1	+	0.405	*0.595
178	1:-1	2:1	+	0.23	*0.77
179	1:-1	1:-1		*0.67	0.33
180	1:-1	1:-1		*0.79	0.21
181	1:-1	1:-1		*0.81	0.19
182	1:-1	2:1	+	0.33	*0.67
183	1:-1	2:1	+	0.35	*0.65
184	1:-1	1:-1		*0.95	0.05
185	1:-1	1:-1		*0.795	0.205
186	1:-1	2:1	+	0.285	*0.715
187	1:-1	1:-1		*0.91	0.09
188	1:-1	1:-1		*0.74	0.26
189	1:-1	1:-1		*0.81	0.19
190	1:-1	1:-1		*0.715	0.285
191	1:-1	2:1	+	0.215	*0.785
192	1:-1	1:-1		*0.73	0.27
193	1:-1	1:-1		*0.515	0.485
194	1:-1	1:-1		*0.6	0.4
195	1:-1	2:1	+	0.475	*0.525
196	1:-1	1:-1		*0.565	0.435
197	1:-1	1:-1		*0.765	0.235
1	2:1	2:1		0.115	*0.885
2	2:1	2:1		0.445	*0.555
3	2:1	2:1		0.25	*0.75
4	2:1	2:1		0.27	*0.73
5	2:1	2:1		0.435	*0.565
6	2:1	1:-1	+	*0.59	0.41
7	2:1	2:1		0.39	*0.61
8	2:1	2:1		0.2	*0.8
9	2:1	2:1		0.39	*0.61
10	2:1	2:1		0.395	*0.605
11	2:1	2:1		0.19	*0.81
12	2:1	2:1		0.035	*0.965
13	2:1	2:1		0.49	*0.51
14	2:1	2:1		0.375	*0.625
15	2:1	2:1		0.385	*0.615
16	2:1	2:1		0.07	*0.93
17	2:1	2:1		0.405	*0.595
18	2:1	2:1		0.22	*0.78
19	2:1	2:1		0.36	*0.64
20	2:1	1:-1	+	*0.55	0.45
21	2:1	2:1		0.14	*0.86
22	2:1	1:-1	+	*0.64	0.36
23	2:1	2:1		0.445	*0.555
24	2:1	2:1		0.125	*0.875
25	2:1	2:1		0.155	*0.845
26	2:1	2:1		0.015	*0.985
27	2:1	2:1		0.205	*0.795
28	2:1	2:1		0.43	*0.57
29	2:1	2:1		0.13	*0.87
30	2:1	2:1		0.275	*0.725
31	2:1	2:1		0.17	*0.83
32	2:1	1:-1	+	*0.51	0.49
33	2:1	2:1		0.45	*0.55
34	2:1	1:-1	+	*0.505	0.495
35	2:1	1:-1	+	*0.645	0.355
36	2:1	1:-1	+	*0.64	0.36
37	2:1	1:-1	+	*0.685	0.315
38	2:1	2:1		0.395	*0.605
39	2:1	2:1		0.19	*0.81
40	2:1	2:1		0.275	*0.725
41	2:1	2:1		0.44	*0.56
42	2:1	2:1		0.31	*0.69
43	2:1	2:1		0.315	*0.685
44	2:1	2:1		0.18	*0.82
45	2:1	1:-1	+	*0.52	0.48
46	2:1	2:1		0.495	*0.505
47	2:1	2:1		0.43	*0.57
48	2:1	2:1		0.325	*0.675
49	2:1	2:1		0.145	*0.855
50	2:1	2:1		0.16	*0.84
51	2:1	1:-1	+	*0.55	0.45
52	2:1	2:1		0.1	*0.9
53	2:1	2:1		0.38	*0.62
54	2:1	2:1		0.165	*0.835
55	2:1	1:-1	+	*0.515	0.485
56	2:1	2:1		0.295	*0.705
57	2:1	2:1		0.065	*0.935
58	2:1	1:-1	+	*0.69	0.31
59	2:1	2:1		0.17	*0.83
60	2:1	2:1		0.315	*0.685
61	2:1	1:-1	+	*0.505	0.495
62	2:1	1:-1	+	*0.56	0.44
63	2:1	1:-1	+	*0.52	0.48
64	2:1	2:1		0.18	*0.82
65	2:1	2:1		0.27	*0.73
66	2:1	2:1		0.13	*0.87
67	2:1	2:1		0.3	*0.7
68	2:1	2:1		0.315	*0.685
69	2:1	1:-1	+	*0.57	0.43
70	2:1	2:1		0.47	*0.53
71	2:1	2:1		0.29	*0.71
72	2:1	2:1		0.4	*0.6
73	2:1	2:1		0.185	*0.815
74	2:1	2:1		0.255	*0.745
75	2:1	2:1		0.24	*0.76
76	2:1	1:-1	+	*0.54	0.46
77	2:1	2:1		0.235	*0.765
78	2:1	2:1		0.115	*0.885
79	2:1	2:1		0.395	*0.605
80	2:1	2:1		0.29	*0.71
81	2:1	2:1		0.18	*0.82
82	2:1	2:1		0.175	*0.825
83	2:1	2:1		0.385	*0.615
84	2:1	1:-1	+	*0.595	0.405
85	2:1	2:1		0.255	*0.745
86	2:1	2:1		0.435	*0.565
87	2:1	2:1		0.135	*0.865
88	2:1	1:-1	+	*0.755	0.245
89	2:1	2:1		0.32	*0.68
90	2:1	2:1		0.48	*0.52
91	2:1	2:1		0.395	*0.605
92	2:1	2:1		0.375	*0.625
93	2:1	2:1		0.105	*0.895
94	2:1	2:1		0.41	*0.59
95	2:1	2:1		0.13	*0.87
96	2:1	2:1		0.135	*0.865
97	2:1	2:1		0.42	*0.58
98	2:1	2:1		0.12	*0.88
99	1:-1	2:1	+	0.495	*0.505
100	1:-1	1:-1		*0.61	0.39
101	1:-1	2:1	+	0.47	*0.53
102	1:-1	1:-1		*0.605	0.395
103	1:-1	2:1	+	0.485	*0.515
104	1:-1	1:-1		*0.77	0.23
105	1:-1	1:-1		*0.605	0.395
106	1:-1	1:-1		*0.565	0.435
107	1:-1	1:-1		*0.555	0.445
108	1:-1	1:-1		*0.72	0.28
109	1:-1	1:-1		*0.695	0.305
110	1:-1	2:1	+	0.395	*0.605
111	1:-1	1:-1		*0.755	0.245
112	1:-1	2:1	+	0.495	*0.505
113	1:-1	1:-1		*0.89	0.11
114	1:-1	1:-1		*0.9	0.1
115	1:-1	1:-1		*0.875	0.125
116	1:-1	1:-1		*0.89	0.11
117	1:-1	2:1	+	0.34	*0.66
118	1:-1	1:-1		*0.76	0.24
119	1:-1	1:-1		*0.87	0.13
120	1:-1	1:-1		*0.92	0.08
121	1:-1	2:1	+	0.415	*0.585
122	1:-1	1:-1		*0.645	0.355
123	1:-1	1:-1		*0.785	0.215
124	1:-1	1:-1		*0.575	0.425
125	1:-1	1:-1		*0.51	0.49
126	1:-1	2:1	+	0.435	*0.565
127	1:-1	1:-1		*0.85	0.15
128	1:-1	1:-1		*0.62	0.38
129	1:-1	1:-1		*0.55	0.45
130	1:-1	1:-1		*0.92	0.08
131	1:-1	1:-1		*0.66	0.34
132	1:-1	1:-1		*0.855	0.145
133	1:-1	1:-1		*0.66	0.34
134	1:-1	1:-1		*0.66	0.34
135	1:-1	2:1	+	0.445	*0.555
136	1:-1	1:-1		*0.54	0.46
137	1:-1	1:-1		*0.675	0.325
138	1:-1	1:-1		*0.6	0.4
139	1:-1	2:1	+	0.445	*0.555
140	1:-1	1:-1		*0.615	0.385
141	1:-1	2:1	+	0.365	*0.635
142	1:-1	1:-1		*0.965	0.035
143	1:-1	1:-1		*0.71	0.29
144	1:-1	1:-1		*0.87	0.13
145	1:-1	1:-1		*0.95	0.05
146	1:-1	1:-1		*0.745	0.255
147	1:-1	1:-1		*0.84	0.16
148	1:-1	1:-1		*0.81	0.19
149	1:-1	2:1	+	0.335	*0.665
150	1:-1	1:-1		*0.84	0.16
151	1:-1	1:-1		*0.735	0.265
152	1:-1	1:-1		*0.94	0.06
153	1:-1	2:1	+	0.125	*0.875
154	1:-1	1:-1		*0.84	0.16
155	1:-1	1:-1		*0.575	0.425
156	1:-1	1:-1		*0.63	0.37
157	1:-1	1:-1		*0.89	0.11
158	1:-1	1:-1		*0.91	0.09
159	1:-1	1:-1		*0.915	0.085
160	1:-1	1:-1		*0.745	0.255
161	1:-1	1:-1		*0.755	0.245
162	1:-1	1:-1		*0.545	0.455
163	1:-1	1:-1		*0.55	0.45
164	1:-1	1:-1		*0.71	0.29
165	1:-1	1:-1		*0.55	0.45
166	1:-1	2:1	+	0.38	*0.62
167	1:-1	1:-1		*0.7	0.3
168	1:-1	1:-1		*0.915	0.085
169	1:-1	1:-1		*0.855	0.145
170	1:-1	1:-1		*0.855	0.145
171	1:-1	2:1	+	0.47	*0.53
172	1:-1	1:-1		*0.88	0.12
173	1:-1	1:-1		*0.805	0.195
174	1:-1	2:1	+	0.38	*0.62
175	1:-1	1:-1		*0.89	0.11
176	1:-1	2:1	+	0.495	*0.505
177	1:-1	1:-1		*0.605	0.395
178	1:-1	1:-1		*0.545	0.455
179	1:-1	1:-1		*0.51	0.49
180	1:-1	1:-1		*0.515	0.485
181	1:-1	1:-1		*0.675	0.325
182	1:-1	2:1	+	0.3	*0.7
183	1:-1	2:1	+	0.255	*0.745
184	1:-1	1:-1		*0.775	0.225
185	1:-1	1:-1		*0.895	0.105
186	1:-1	2:1	+	0.455	*0.545
187	1:-1	1:-1		*0.71	0.29
188	1:-1	1:-1		*0.665	0.335
189	1:-1	1:-1		*0.815	0.185
190	1:-1	1:-1		*0.615	0.385
191	1:-1	1:-1		*0.685	0.315
192	1:-1	1:-1		*0.6	0.4
193	1:-1	1:-1		*0.77	0.23
194	1:-1	2:1	+	0.415	*0.585
195	1:-1	1:-1		*0.675	0.325
196	1:-1	2:1	+	0.39	*0.61
197	1:-1	1:-1		*0.555	0.445
1	2:1	2:1		0.125	*0.875
2	2:1	2:1		0.325	*0.675
3	2:1	2:1		0.205	*0.795
4	2:1	2:1		0.12	*0.88
5	2:1	2:1		0.135	*0.865
6	2:1	1:-1	+	*0.59	0.41
7	2:1	2:1		0.465	*0.535
8	2:1	2:1		0.335	*0.665
9	2:1	2:1		0.4	*0.6
10	2:1	2:1		0.2	*0.8
11	2:1	1:-1	+	*0.525	0.475
12	2:1	2:1		0.31	*0.69
13	2:1	2:1		0.325	*0.675
14	2:1	2:1		0.27	*0.73
15	2:1	1:-1	+	*0.835	0.165
16	2:1	2:1		0.36	*0.64
17	2:1	2:1		0.32	*0.68
18	2:1	1:-1	+	*0.525	0.475
19	2:1	2:1		0.29	*0.71
20	2:1	1:-1	+	*0.75	0.25
21	2:1	2:1		0.1	*0.9
22	2:1	2:1		0.195	*0.805
23	2:1	1:-1	+	*0.805	0.195
24	2:1	1:-1	+	*0.555	0.445
25	2:1	2:1		0.34	*0.66
26	2:1	1:-1	+	*0.575	0.425
27	2:1	1:-1	+	*0.56	0.44
28	2:1	2:1		0.485	*0.515
29	2:1	2:1		0.325	*0.675
30	2:1	2:1		0.18	*0.82
31	2:1	2:1		0.305	*0.695
32	2:1	2:1		0.18	*0.82
33	2:1	2:1		0.375	*0.625
34	2:1	2:1		0.19	*0.81
35	2:1	2:1		0.14	*0.86
36	2:1	2:1		0.325	*0.675
37	2:1	2:1		0.19	*0.81
38	2:1	2:1		0.195	*0.805
39	2:1	1:-1	+	*0.61	0.39
40	2:1	1:-1	+	*0.54	0.46
41	2:1	1:-1	+	*0.755	0.245
42	2:1	2:1		0.335	*0.665
43	2:1	1:-1	+	*0.805	0.195
44	2:1	2:1		0.14	*0.86
45	2:1	2:1		0.235	*0.765
46	2:1	2:1		0.13	*0.87
47	2:1	2:1		0.445	*0.555
48	2:1	2:1		0.365	*0.635
49	2:1	2:1		0.295	*0.705
50	2:1	1:-1	+	*0.52	0.48
51	2:1	2:1		0.29	*0.71
52	2:1	2:1		0.32	*0.68
53	2:1	2:1		0.235	*0.765
54	2:1	2:1		0.18	*0.82
55	2:1	2:1		0.265	*0.735
56	2:1	2:1		0.345	*0.655
57	2:1	2:1		0.225	*0.775
58	2:1	2:1		0.335	*0.665
59	2:1	2:1		0.43	*0.57
60	2:1	2:1		0.13	*0.87
61	2:1	1:-1	+	*0.57	0.43
62	2:1	2:1		0.385	*0.615
63	2:1	2:1		0.41	*0.59
64	2:1	2:1		0.225	*0.775
65	2:1	2:1		0.065	*0.935
66	2:1	2:1		0.195	*0.805
67	2:1	2:1		0.455	*0.545
68	2:1	2:1		0.38	*0.62
69	2:1	2:1		0.37	*0.63
70	2:1	2:1		0.25	*0.75
71	2:1	1:-1	+	*0.62	0.38
72	2:1	2:1		0.32	*0.68
73	2:1	2:1		0.34	*0.66
74	2:1	2:1		0.25	*0.75
75	2:1	2:1		0.28	*0.72
76	2:1	2:1		0.22	*0.78
77	2:1	2:1		0.275	*0.725
78	2:1	2:1		0.42	*0.58
79	2:1	2:1		0.18	*0.82
80	2:1	2:1		0.085	*0.915
81	2:1	2:1		0.22	*0.78
82	2:1	2:1		0.345	*0.655
83	2:1	2:1		0.08	*0.92
84	2:1	1:-1	+	*0.565	0.435
85	2:1	2:1		0.14	*0.86
86	2:1	2:1		0.14	*0.86
87	2:1	2:1		0.19	*0.81
88	2:1	2:1		0.235	*0.765
89	2:1	2:1		0.48	*0.52
90	2:1	1:-1	+	*0.79	0.21
91	2:1	1:-1	+	*0.515	0.485
92	2:1	2:1		0.165	*0.835
93	2:1	2:1		0.155	*0.845
94	2:1	2:1		0.085	*0.915
95	2:1	1:-1	+	*0.63	0.37
96	2:1	2:1		0.195	*0.805
97	2:1	2:1		0.345	*0.655
98	2:1	1:-1	+	*0.56	0.44
99	1:-1	2:1	+	0.49	*0.51
100	1:-1	2:1	+	0.435	*0.565
101	1:-1	1:-1		*0.685	0.315
102	1:-1	1:-1		*0.835	0.165
103	1:-1	1:-1		*0.77	0.23
104	1:-1	1:-1		*0.75	0.25
105	1:-1	1:-1		*0.74	0.26
106	1:-1	1:-1		*0.585	0.415
107	1:-1	1:-1		*0.6	0.4
108	1:-1	2:1	+	0.48	*0.52
109	1:-1	2:1	+	0.265	*0.735
110	1:-1	1:-1		*0.73	0.27
111	1:-1	1:-1		*0.725	0.275
112	1:-1	1:-1		*0.745	0.255
113	1:-1	1:-1		*0.89	0.11
114	1:-1	1:-1		*0.63	0.37
115	1:-1	1:-1		*0.68	0.32
116	1:-1	1:-1		*0.89	0.11
117	1:-1	1:-1		*0.95	0.05
118	1:-1	1:-1		*0.645	0.355
119	1:-1	1:-1		*0.63	0.37
120	1:-1	2:1	+	0.36	*0.64
121	1:-1	1:-1		*0.805	0.195
122	1:-1	1:-1		*0.855	0.145
123	1:-1	1:-1		*0.775	0.225
124	1:-1	1:-1		*0.79	0.21
125	1:-1	1:-1		*0.85	0.15
126	1:-1	1:-1		*0.8	0.2
127	1:-1	1:-1		*0.57	0.43
128	1:-1	1:-1		*0.795	0.205
129	1:-1	1:-1		*0.92	0.08
130	1:-1	2:1	+	0.43	*0.57
131	1:-1	1:-1		*0.775	0.225
132	1:-1	2:1	+	0.47	*0.53
133	1:-1	1:-1		*0.755	0.245
134	1:-1	2:1	+	0.34	*0.66
135	1:-1	1:-1		*0.595	0.405
136	1:-1	1:-1		*0.82	0.18
137	1:-1	1:-1		*0.835	0.165
138	1:-1	1:-1		*0.62	0.38
139	1:-1	1:-1		*0.755	0.245
140	1:-1	2:1	+	0.21	*0.79
141	1:-1	1:-1		*0.795	0.205
142	1:-1	1:-1		*0.79	0.21
143	1:-1	1:-1		*0.81	0.19
144	1:-1	1:-1		*0.925	0.075
145	1:-1	1:-1		*0.75	0.25
146	1:-1	1:-1		*0.925	0.075
147	1:-1	1:-1		*0.79	0.21
148	1:-1	1:-1		*0.615	0.385
149	1:-1	1:-1		*0.71	0.29
150	1:-1	1:-1		*0.86	0.14
151	1:-1	1:-1		*0.77	0.23
152	1:-1	1:-1		*0.76	0.24
153	1:-1	1:-1		*0.54	0.46
154	1:-1	1:-1		*0.655	0.345
155	1:-1	1:-1		*0.66	0.34
156	1:-1	1:-1		*0.79	0.21
157	1:-1	1:-1		*0.875	0.125
158	1:-1	1:-1		*0.665	0.335
159	1:-1	1:-1		*0.73	0.27
160	1:-1	1:-1		*0.855	0.145
161	1:-1	1:-1		*0.79	0.21
162	1:-1	1:-1		*0.535	0.465
163	1:-1	1:-1		*0.7	0.3
164	1:-1	2:1	+	0.46	*0.54
165	1:-1	2:1	+	0.35	*0.65
166	1:-1	1:-1		*0.875	0.125
167	1:-1	1:-1		*0.69	0.31
168	1:-1	1:-1		*0.695	0.305
169	1:-1	1:-1		*0.53	0.47
170	1:-1	1:-1		*0.92	0.08
171	1:-1	1:-1		*0.735	0.265
172	1:-1	1:-1		*0.52	0.48
173	1:-1	1:-1		*0.89	0.11
174	1:-1	2:1	+	0.335	*0.665
175	1:-1	1:-1		*0.845	0.155
176	1:-1	1:-1		*0.755	0.245
177	1:-1	1:-1		*0.71	0.29
178	1:-1	1:-1		*0.795	0.205
179	1:-1	1:-1		*0.81	0.19
180	1:-1	1:-1		*0.555	0.445
181	1:-1	2:1	+	0.445	*0.555
182	1:-1	2:1	+	0.48	*0.52
183	1:-1	1:-1		*0.89	0.11
184	1:-1	1:-1		*0.58	0.42
185	1:-1	2:1	+	0.44	*0.56
186	1:-1	1:-1		*0.78	0.22
187	1:-1	1:-1		*0.61	0.39
188	1:-1	1:-1		*0.655	0.345
189	1:-1	1:-1		*0.895	0.105
190	1:-1	1:-1		*0.555	0.445
191	1:-1	1:-1		*0.8	0.2
192	1:-1	1:-1		*0.595	0.405
193	1:-1	1:-1		*0.705	0.295
194	1:-1	1:-1		*0.835	0.165
195	1:-1	2:1	+	0.46	*0.54
196	1:-1	1:-1		*0.52	0.48
1	2:1	2:1		0.09	*0.91
2	2:1	2:1		0.11	*0.89
3	2:1	1:-1	+	*0.805	0.195
4	2:1	2:1		0.185	*0.815
5	2:1	2:1		0.275	*0.725
6	2:1	2:1		0.475	*0.525
7	2:1	1:-1	+	*0.665	0.335
8	2:1	2:1		0.47	*0.53
9	2:1	2:1		0.165	*0.835
10	2:1	1:-1	+	*0.825	0.175
11	2:1	2:1		0.24	*0.76
12	2:1	2:1		0.055	*0.945
13	2:1	2:1		0.09	*0.91
14	2:1	2:1		0.215	*0.785
15	2:1	1:-1	+	*0.67	0.33
16	2:1	2:1		0.05	*0.95
17	2:1	1:-1	+	*0.545	0.455
18	2:1	2:1		0.1	*0.9
19	2:1	2:1		0.195	*0.805
20	2:1	2:1		0.28	*0.72
21	2:1	2:1		0.43	*0.57
22	2:1	2:1		0.13	*0.87
23	2:1	1:-1	+	*0.52	0.48
24	2:1	2:1		0.265	*0.735
25	2:1	2:1		0.115	*0.885
26	2:1	1:-1	+	*0.7	0.3
27	2:1	2:1		0.185	*0.815
28	2:1	2:1		0.185	*0.815
29	2:1	2:1		0.195	*0.805
30	2:1	2:1		0.17	*0.83
31	2:1	1:-1	+	*0.565	0.435
32	2:1	1:-1	+	*0.69	0.31
33	2:1	2:1		0.375	*0.625
34	2:1	2:1		0.315	*0.685
35	2:1	1:-1	+	*0.515	0.485
36	2:1	2:1		0.37	*0.63
37	2:1	2:1		0.22	*0.78
38	2:1	1:-1	+	*0.69	0.31
39	2:1	2:1		0.155	*0.845
40	2:1	2:1		0.195	*0.805
41	2:1	2:1		0.225	*0.775
42	2:1	2:1		0.22	*0.78
43	2:1	2:1		0.415	*0.585
44	2:1	1:-1	+	*0.555	0.445
45	2:1	2:1		0.12	*0.88
46	2:1	2:1		0.105	*0.895
47	2:1	2:1		0.235	*0.765
48	2:1	2:1		0.435	*0.565
49	2:1	2:1		0.255	*0.745
50	2:1	1:-1	+	*0.68	0.32
51	2:1	1:-1	+	*0.65	0.35
52	2:1	2:1		0.23	*0.77
53	2:1	2:1		0.415	*0.585
54	2:1	2:1		0.34	*0.66
55	2:1	2:1		0.425	*0.575
56	2:1	2:1		0.43	*0.57
57	2:1	2:1		0.355	*0.645
58	2:1	2:1		0.235	*0.765
59	2:1	2:1		0.185	*0.815
60	2:1	2:1		0.415	*0.585
61	2:1	1:-1	+	*0.875	0.125
62	2:1	2:1		0.335	*0.665
63	2:1	2:1		0.1	*0.9
64	2:1	2:1		0.425	*0.575
65	2:1	1:-1	+	*0.53	0.47
66	2:1	2:1		0.475	*0.525
67	2:1	1:-1	+	*0.685	0.315
68	2:1	1:-1	+	*0.63	0.37
69	2:1	2:1		0.285	*0.715
70	2:1	1:-1	+	*0.62	0.38
71	2:1	2:1		0.385	*0.615
72	2:1	2:1		0.33	*0.67
73	2:1	2:1		0.36	*0.64
74	2:1	2:1		0.22	*0.78
75	2:1	2:1		0.08	*0.92
76	2:1	2:1		0.225	*0.775
77	2:1	2:1		0.135	*0.865
78	2:1	2:1		0.205	*0.795
79	2:1	2:1		0.32	*0.68
80	2:1	2:1		0.275	*0.725
81	2:1	2:1		0.485	*0.515
82	2:1	2:1		0.11	*0.89
83	2:1	2:1		0.25	*0.75
84	2:1	2:1		0.145	*0.855
85	2:1	2:1		0.14	*0.86
86	2:1	2:1		0.275	*0.725
87	2:1	2:1		0.365	*0.635
88	2:1	1:-1	+	*0.65	0.35
89	2:1	2:1		0.29	*0.71
90	2:1	2:1		0.315	*0.685
91	2:1	2:1		0.24	*0.76
92	2:1	1:-1	+	*0.555	0.445
93	2:1	1:-1	+	*0.53	0.47
94	2:1	2:1		0.145	*0.855
95	2:1	2:1		0.275	*0.725
96	2:1	2:1		0.085	*0.915
97	2:1	2:1		0.085	*0.915
98	2:1	2:1		0.37	*0.63
99	1:-1	1:-1		*0.545	0.455
