Point_ID,Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Input_11,Input_12,Input_13,Input_14,Output
81,16.6667,0.2895,0.0666,0.1144,0.4395,0.0617,-0.1940,-0.0128,0.0891,0.0930,0.0203,0.0645,0.2206,0.2881,-1.2444
82,16.8750,0.2895,0.3052,0.2291,0.5508,0.1202,0.7045,0.0439,0.2577,0.2079,0.1340,0.1777,0.2761,0.2881,-0.9770
83,17.0833,0.5185,0.3052,0.3439,0.6622,0.3543,-0.8984,0.1572,0.3702,0.3228,0.6657,0.3475,0.3317,0.3438,-1.0104
84,17.2917,0.5185,0.4245,0.5734,0.8292,0.5299,-1.0950,0.2705,0.5950,0.6101,1.5237,0.4041,0.5540,0.5665,-1.0428
85,17.5000,0.6330,0.7228,0.6308,0.8292,0.5884,-0.2744,0.4405,0.7075,0.7825,0.0792,0.5738,0.6651,0.7336,-0.9894
86,17.7083,0.6330,0.6631,0.6308,0.8292,0.5884,-0.0751,0.5538,0.8199,0.9548,-1.0490,0.5172,0.7763,0.7892,-1.0480
87,17.9167,0.6330,0.7228,0.6882,0.7735,0.6469,0.0729,0.5538,0.8199,0.8399,-0.7408,0.5172,0.7763,0.7336,-1.0071
88,18.1250,0.6330,0.7824,0.6882,0.6622,0.6469,1.4719,0.4971,0.8199,0.8399,0.4031,0.5172,0.8319,0.7336,-0.9426
89,18.3333,0.6903,0.7228,0.6882,0.7178,0.6469,-0.6112,0.3838,0.7637,0.7250,0.3074,0.4607,0.6651,0.6222,-0.6954
90,18.5417,0.6330,0.5438,0.6308,0.6065,0.5299,0.1400,0.3272,0.6513,0.6675,-0.3916,0.0079,0.6651,0.5665,-0.3785
91,18.7500,0.5758,0.4842,0.4586,0.4952,0.4128,1.4596,0.2138,0.4264,0.4952,0.0935,-0.2751,0.5540,0.4552,-0.3422
92,18.9583,0.4612,0.4842,0.3439,0.4395,0.2373,-0.3589,0.0439,0.4264,0.3803,1.3954,-0.3883,0.4429,0.3995,-0.4255
93,19.1667,0.4040,0.3648,0.2865,0.3838,0.1202,-2.5571,-0.0128,0.3140,0.2653,-0.5486,-0.4449,0.1094,0.2324,-0.5040
94,19.3750,0.4040,0.3052,0.2865,0.3838,0.2373,-0.9781,-0.4094,0.2577,0.2079,-0.5489,-0.4449,0.0539,-0.2130,-0.6573
95,19.5833,0.4612,0.3648,0.3439,0.3838,0.2958,0.3916,-0.4094,0.2577,0.2653,-0.3548,-0.5014,0.0539,-0.2130,-0.9769
96,19.7917,0.4612,0.3052,0.3439,0.3282,0.2958,-0.0300,-0.4661,0.2577,0.3228,0.1772,-0.5580,-0.0017,-0.3244,-1.2803
97,20.0000,0.5185,0.3052,0.3439,0.4395,0.3543,-0.1261,-0.4661,0.3140,0.3803,0.1996,-0.5580,-0.1128,-0.4358,-1.4010
98,20.2083,0.4612,0.2455,0.3439,0.4395,0.2958,-3.2311,-0.5794,0.2015,0.3803,0.1970,-0.6146,-0.1128,-0.4358,-1.4495
99,20.4167,0.4612,0.3648,0.2865,0.4395,0.2958,-0.1109,-0.5794,0.2015,0.3228,-0.2693,-0.6712,-0.1128,-0.4358,-1.4332
100,20.6250,0.5185,0.3052,0.2865,0.4952,0.2958,-0.2179,-0.5794,0.2015,0.3228,-0.3413,-0.6712,-0.1128,-0.4358,-1.3284
101,20.8333,0.4612,0.3052,0.3439,0.3838,0.2958,-0.5981,-0.4661,0.2577,0.3228,0.7033,-0.6712,-0.1684,-0.3801,-1.2205
102,21.0417,0.3467,0.3052,0.3439,0.2725,0.3543,0.6883,-0.0128,0.2577,0.3228,2.2007,-0.6712,-0.2240,-0.4358,-0.7677
103,21.2500,0.3467,0.3052,0.3439,0.2169,0.4128,-0.2067,-0.0695,0.2577,0.3228,-0.0063,-0.6712,-0.2796,-0.4914,-0.0545
104,21.4583,0.3467,0.3052,0.4013,0.2169,0.4128,-0.9153,-0.0128,0.3140,0.3228,-0.0865,-0.6712,-0.2240,-0.4914,0.2870
105,21.6667,0.2322,0.3648,0.3439,-0.2841,0.3543,0.2787,-0.1261,0.3140,0.3228,-0.0952,-0.6712,-0.2240,-0.4914,0.2388
106,21.8750,0.2322,0.4245,0.4013,-0.3398,0.4128,0.5797,-0.0128,0.3702,0.5526,0.5795,-0.6712,-0.2240,-0.4914,0.2128
107,22.0833,0.1750,0.4245,0.4586,-0.3955,0.4714,-1.4161,-0.0128,0.3702,0.6101,-0.2749,-0.6146,-0.2240,-0.4914,0.2576
108,22.2917,0.1750,0.4842,0.4013,-0.2841,0.4714,1.6122,-0.1261,0.4826,0.6675,-0.6691,-0.5580,-0.3351,-0.5471,0.1505
109,22.5000,0.1177,0.5438,0.3439,-0.1728,0.4128,0.3696,-0.1261,0.4826,0.6675,0.8961,-0.5580,-0.2796,-0.4914,0.1320
110,22.7083,0.1177,0.5438,0.3439,-0.0615,0.4128,0.0036,-0.0695,0.4264,0.6101,-0.7613,-0.5580,-0.2240,-0.4914,0.0996
111,22.9167,0.0032,0.4245,0.4013,-0.1171,0.4714,-0.5519,-0.4094,0.4264,0.6675,-1.2557,-0.5014,-0.2240,-0.4358,0.0051
112,23.1250,-0.1113,0.4245,0.4013,-0.1171,0.4714,-0.3616,-0.3528,0.4264,0.6675,-0.2452,-0.5014,-0.2240,-0.3801,-0.0017
113,23.3333,-0.1686,0.4245,0.1718,-0.1171,0.2958,-1.4187,-0.1828,0.4264,0.7250,0.9566,-0.4449,-0.2240,-0.3801,0.1106
114,23.5417,-0.2258,0.4245,0.1144,-0.2285,0.1202,-1.3747,-0.2394,0.2015,0.6101,-0.8654,-0.5014,-0.2240,-0.3801,0.5309
115,23.7500,-0.2831,0.2455,0.0570,-0.2285,0.0617,0.1241,-0.4094,0.1453,0.2653,-1.2374,-0.5580,-0.2796,-0.4358,0.6705
116,23.9583,-0.4549,-0.2914,-0.0577,-0.5068,-0.0554,0.7539,-0.4661,0.1453,0.2079,-1.6004,-0.5580,-0.3351,-0.4914,0.6359
117,24.1667,-0.5694,-0.4107,-0.1151,-0.6181,-0.1139,0.0688,-0.5227,0.0329,0.0930,-0.2468,-0.5580,-0.5018,-0.5471,0.5051
118,24.3750,-0.7411,-0.5897,-0.2299,-0.7295,-0.2309,-0.4342,-0.5227,-0.0233,0.0930,0.3226,-0.6146,-0.5574,-0.7142,0.2839
119,24.5833,-0.7984,-0.7090,-0.4020,-0.7295,-0.3480,-0.1943,-0.5794,-0.3044,-0.0794,1.0325,-0.6712,-0.6130,-0.7142,-0.0707
120,24.7917,-1.0274,-0.7090,-0.6315,-0.8408,-0.6406,-0.1991,-0.6927,-0.4169,-0.4816,0.5941,-0.7278,-0.7797,-0.8255,-0.4315
121,25.0000,-1.1992,-0.7090,-0.7463,-0.9521,-0.7577,0.2797,-0.6927,-0.4731,-0.5390,0.2909,-0.7844,-0.8908,-0.8255,-0.5941
122,25.2083,-1.0847,-0.7687,-0.8036,-1.0078,-0.8162,-0.9743,-0.6927,-0.5855,-0.5390,0.2500,-0.8410,-0.9464,-0.8812,-0.5927
123,25.4167,-1.2565,-0.8283,-0.9184,-1.0635,-0.9332,-0.3190,-0.8060,-0.6979,-0.5965,0.4359,-0.8976,-1.0575,-1.0483,-0.6165
124,25.6250,-1.1992,-0.9476,-0.9758,-1.0635,-0.9918,-2.1525,-0.8627,-0.7542,-0.7114,0.6305,-0.9542,-1.1131,-1.0483,-0.5681
125,25.8333,-1.2565,-1.0669,-1.0905,-1.1191,-1.0503,0.3634,-0.9760,-0.8666,-0.8263,-1.4651,-1.0674,-1.1687,-1.1596,-0.3966
126,26.0417,-1.2565,-1.0669,-1.1479,-1.1191,-1.1088,0.8351,-1.0893,-1.0352,-0.8263,1.8629,-1.1240,-1.2243,-1.2710,0.0580
127,26.2500,-1.4282,-1.1863,-1.3200,-1.1191,-1.3429,-1.6921,-1.1460,-1.2039,-0.8838,-0.6825,-1.1806,-1.1687,-1.1040,0.7438
128,26.4583,-1.2565,-1.1863,-1.3774,-1.2305,-1.2844,-0.0806,-1.2593,-1.4288,-0.9987,0.7427,-1.2372,-1.3354,-1.1596,1.1062
129,26.6667,-1.3137,-1.1266,-1.3774,-1.2305,-1.2844,0.1153,-1.2027,-1.4850,-1.1136,0.5907,-1.1806,-1.2798,-1.2710,0.9207
130,26.8750,-1.2565,-0.9476,-1.2053,-1.1191,-1.2259,2.9586,-1.2593,-1.0915,-0.9987,0.0296,-1.0674,-1.1131,-1.0483,0.8531
131,27.0833,-1.1992,-0.8283,-0.9758,-1.1191,-1.0503,-0.1592,-0.9760,-0.8666,-0.8838,-0.0061,-0.9542,-0.9464,-0.9926,0.7732
132,27.2917,-1.1419,-0.8880,-0.9184,-1.1191,-0.9918,-0.5835,-0.8627,-0.7542,-0.8263,-0.1214,-0.8976,-0.8353,-0.9369,0.6459
133,27.5000,-1.0847,-0.8283,-0.8036,-1.1191,-0.9332,-0.3538,-0.9194,-0.6979,-0.7114,0.9901,-0.8410,-0.7241,-0.7699,0.6095
134,27.7083,-1.1992,-0.7687,-0.8036,-1.0635,-0.8747,0.2846,-0.8627,-0.6979,-0.6540,0.6359,-0.8976,-0.7241,-0.8255,0.5844
135,27.9167,-1.1992,-0.7687,-0.8036,-1.0635,-0.8747,0.4202,-0.8627,-0.6979,-0.6540,1.2190,-0.8410,-0.7797,-0.8255,0.5261
136,28.1250,-1.1992,-0.7687,-0.8036,-1.1748,-0.8162,-1.3265,-0.8060,-0.6417,-0.6540,-1.2134,-0.8410,-0.7797,-0.8812,0.5305
137,28.3333,-1.2565,-0.8283,-0.8610,-1.2861,-0.9332,-0.6087,-0.8627,-0.7542,-0.7114,1.4084,-0.8976,-0.9464,-0.9926,0.8141
138,28.5417,-1.4855,-1.1863,-1.0332,-1.5645,-1.1088,-0.6696,-1.0893,-0.8666,-0.8838,-1.3206,-1.0108,-1.0020,-1.1596,1.5446
139,28.7500,-1.6000,-1.1863,-1.2053,-1.6201,-1.2259,-1.4202,-1.0327,-1.0352,-1.0562,1.2646,-1.1806,-1.1687,-1.2710,1.6839
140,28.9583,-1.7145,-1.1863,-1.3774,-1.7315,-1.3429,-0.6668,-1.0893,-1.1477,-1.1136,-0.8665,-1.2938,-1.3910,-1.4380,1.7019
141,29.1667,-1.8290,-1.2459,-1.5495,-1.8985,-1.5185,-1.1843,-1.3160,-1.3163,-1.1711,-1.2512,-1.4069,-1.5577,-1.5494,1.6148
142,29.3750,-1.8863,-1.3652,-1.6069,-1.8985,-1.6356,-0.4612,-1.4860,-1.4288,-1.2860,-1.5181,-1.5767,-1.6132,-1.6051,1.4488
143,29.5833,-1.9435,-1.6039,-1.7217,-1.9541,-1.7526,-0.6825,-1.5426,-1.5412,-1.4009,-0.3549,-1.6333,-1.7244,-1.6608,1.1258
144,29.7917,-2.0008,-1.6039,-1.7791,-2.0098,-1.8111,1.2533,-1.5993,-1.6536,-1.5158,-1.6537,-1.6899,-1.7244,-1.7165,0.8026
145,30.0000,-2.0580,-1.7232,-1.8938,-2.0098,-1.9282,0.2780,-1.7126,-1.7098,-1.6882,-1.3291,-1.8031,-1.8355,-1.7721,0.7310
146,30.2083,-2.0580,-1.7828,-1.8938,-2.0098,-1.9282,0.6683,-1.7126,-1.8223,-1.7456,-1.0748,-1.8031,-1.9467,-1.8835,0.7316
147,30.4167,-2.1153,-1.8425,-2.0086,-2.0655,-1.9867,-0.8776,-1.8259,-1.8223,-1.8031,0.9558,-1.8597,-1.9467,-1.8835,0.7395
148,30.6250,-2.1153,-1.8425,-2.0659,-2.0655,-2.0452,0.6958,-1.8826,-2.0471,-1.8605,-1.9237,-1.9163,-2.0578,-1.9949,0.8489
149,30.8333,-2.1726,-1.8425,-2.1233,-2.1768,-2.1038,0.4157,-1.8826,-2.0471,-1.9755,1.8758,-1.9163,-2.0578,-1.9949,1.0227
150,31.0417,-2.2298,-1.9618,-2.1233,-2.1768,-2.1038,0.8198,-1.9392,-2.1034,-2.0329,0.1605,-1.9163,-2.0578,-2.0506,1.4657
151,31.2500,-2.2298,-1.9618,-2.1807,-2.1768,-2.1623,-0.8290,-1.9959,-2.1034,-2.0904,0.7651,-2.0295,-2.1134,-2.0506,2.1655
152,31.4583,-2.2298,-1.9618,-2.2381,-2.1768,-2.2208,0.6111,-1.9959,-2.2158,-2.1478,-0.6592,-2.0295,-2.1690,-2.0506,2.4035
153,31.6667,-2.2298,-1.9618,-2.1807,-2.2881,-2.2208,1.3166,-1.9959,-2.1034,-2.1478,-0.1440,-2.0295,-2.1134,-2.0506,2.0830
154,31.8750,-2.1726,-1.8425,-2.0086,-2.1211,-2.0452,0.7506,-1.9959,-1.9347,-1.9755,-0.7043,-1.9163,-2.0022,-1.8835,1.8491
155,32.0833,-2.0580,-1.8425,-1.8938,-2.0098,-1.9867,-0.1264,-1.8826,-1.7661,-1.8605,0.3426,-1.8597,-1.8355,-1.7721,1.7072
156,32.2917,-1.9435,-1.7828,-1.7791,-1.8428,-1.8111,0.6801,-1.7693,-1.6536,-1.7456,1.1759,-1.8031,-1.7244,-1.6608,1.4924
157,32.5000,-1.7718,-1.7828,-1.6643,-1.6758,-1.6941,0.6402,-1.7126,-1.5974,-1.6307,-1.0050,-1.7465,-1.6688,-1.6051,1.2946
158,32.7083,-1.7145,-1.6635,-1.5495,-1.5645,-1.5770,-0.1304,-1.5993,-1.4288,-1.5158,1.3750,-1.6333,-1.5577,-1.4937,1.1478
159,32.9167,-1.6000,-1.6635,-1.4348,-1.4531,-1.5185,-0.6696,-1.5993,-1.4288,-1.4583,-0.2487,-1.6333,-1.4465,-1.3824,1.0463
160,33.1250,-1.6000,-1.6635,-1.3774,-1.4531,-1.4600,0.6862,-1.5426,-1.3725,-1.4009,-0.0136,-1.5767,-1.3910,-1.3267,1.0789
