inst#,actual,predicted,error,distribution,
89,1:0,1:0,,*0.773,0.227
90,1:0,1:0,,*0.725,0.275
91,1:0,2:1,+,0.499,*0.501
92,1:0,2:1,+,0.064,*0.936
93,1:0,1:0,,*0.784,0.216
94,1:0,1:0,,*0.732,0.268
95,1:0,1:0,,*0.943,0.057
96,1:0,2:1,+,0.088,*0.912
97,1:0,2:1,+,0.407,*0.593
98,1:0,1:0,,*0.504,0.496
99,1:0,1:0,,*0.94,0.06
100,1:0,1:0,,*0.519,0.481
101,1:0,1:0,,*0.636,0.364
102,1:0,1:0,,*0.591,0.409
103,1:0,2:1,+,0.069,*0.931
104,1:0,1:0,,*0.82,0.18
105,1:0,1:0,,*0.52,0.48
106,1:0,1:0,,*0.684,0.316
107,1:0,1:0,,*0.929,0.071
108,1:0,2:1,+,0.364,*0.636
109,1:0,1:0,,*0.995,0.005
110,1:0,1:0,,*0.642,0.358
111,1:0,2:1,+,0.272,*0.728
112,1:0,1:0,,*0.542,0.458
113,1:0,1:0,,*0.595,0.405
114,1:0,1:0,,*0.545,0.455
115,1:0,2:1,+,0.137,*0.863
116,1:0,2:1,+,0.04,*0.96
117,1:0,1:0,,*0.96,0.04
118,1:0,1:0,,*0.651,0.349
119,1:0,2:1,+,0.27,*0.73
120,1:0,2:1,+,0.046,*0.954
121,1:0,2:1,+,0.276,*0.724
122,1:0,2:1,+,0.093,*0.907
123,1:0,1:0,,*0.775,0.225
124,1:0,1:0,,*0.923,0.077
125,1:0,1:0,,*0.682,0.318
126,1:0,2:1,+,0.458,*0.542
127,1:0,2:1,+,0.498,*0.502
128,1:0,2:1,+,0.369,*0.631
129,1:0,1:0,,*0.682,0.318
130,1:0,1:0,,*0.521,0.479
131,1:0,1:0,,*0.684,0.316
132,1:0,2:1,+,0.314,*0.686
133,1:0,1:0,,*0.549,0.451
134,1:0,1:0,,*0.546,0.454
135,1:0,1:0,,*0.68,0.32
136,1:0,1:0,,*0.967,0.033
137,1:0,2:1,+,0.369,*0.631
138,1:0,1:0,,*0.956,0.044
139,1:0,2:1,+,0.318,*0.682
140,1:0,2:1,+,0.079,*0.921
141,1:0,2:1,+,0.411,*0.589
142,1:0,1:0,,*0.501,0.499
143,1:0,2:1,+,0.044,*0.956
144,1:0,2:1,+,0.407,*0.593
145,1:0,2:1,+,0.362,*0.638
146,1:0,1:0,,*0.773,0.227
147,1:0,1:0,,*0.925,0.075
148,1:0,2:1,+,0.432,*0.568
149,1:0,2:1,+,0.044,*0.956
150,1:0,1:0,,*0.635,0.365
151,1:0,1:0,,*0.865,0.135
152,1:0,1:0,,*0.549,0.451
153,1:0,1:0,,*0.593,0.407
154,1:0,1:0,,*0.723,0.277
155,1:0,2:1,+,0.36,*0.64
156,1:0,2:1,+,0.453,*0.547
157,1:0,2:1,+,0.317,*0.683
158,1:0,2:1,+,0.228,*0.772
159,1:0,1:0,,*0.946,0.054
160,1:0,2:1,+,0.391,*0.609
161,1:0,1:0,,*0.953,0.047
162,1:0,1:0,,*0.589,0.411
163,1:0,2:1,+,0.459,*0.541
164,1:0,1:0,,*0.726,0.274
165,1:0,2:1,+,0.226,*0.774
166,1:0,1:0,,*0.974,0.026
167,1:0,2:1,+,0.342,*0.658
168,1:0,1:0,,*0.937,0.063
169,1:0,1:0,,*0.5,0.5
170,1:0,2:1,+,0.135,*0.865
171,1:0,1:0,,*0.548,0.452
172,1:0,2:1,+,0.456,*0.544
173,1:0,2:1,+,0.274,*0.726
174,1:0,2:1,+,0.052,*0.948
175,1:0,2:1,+,0.015,*0.985
176,1:0,1:0,,*0.5,0.5
177,1:0,1:0,,*0.593,0.407
178,1:0,2:1,+,0.218,*0.782
179,1:0,1:0,,*0.727,0.273
180,1:0,1:0,,*0.822,0.178
181,1:0,1:0,,*0.587,0.413
182,1:0,2:1,+,0.452,*0.548
183,1:0,1:0,,*0.973,0.027
184,1:0,2:1,+,0.405,*0.595
185,1:0,1:0,,*0.74,0.26
186,1:0,2:1,+,0.409,*0.591
187,1:0,2:1,+,0.407,*0.593
188,1:0,1:0,,*0.728,0.272
189,1:0,2:1,+,0.483,*0.517
190,1:0,1:0,,*0.591,0.409
191,1:0,1:0,,*0.543,0.457
192,1:0,1:0,,*0.588,0.412
193,1:0,1:0,,*0.772,0.228
194,1:0,2:1,+,0.387,*0.613
195,1:0,1:0,,*0.685,0.315
196,1:0,2:1,+,0.357,*0.643
197,1:0,2:1,+,0.409,*0.591
198,1:0,1:0,,*0.962,0.038
199,1:0,1:0,,*0.635,0.365
200,1:0,2:1,+,0.054,*0.946
201,1:0,1:0,,*0.5,0.5
202,1:0,1:0,,*0.989,0.011
203,1:0,1:0,,*0.725,0.275
204,1:0,2:1,+,0.453,*0.547
205,1:0,1:0,,*0.631,0.369
206,1:0,1:0,,*0.502,0.498
207,1:0,1:0,,*0.819,0.181
208,1:0,1:0,,*0.683,0.317
209,1:0,1:0,,*0.52,0.48
210,1:0,2:1,+,0.26,*0.74
211,1:0,1:0,,*0.588,0.412
212,1:0,1:0,,*0.967,0.033
213,1:0,1:0,,*0.545,0.455
214,1:0,1:0,,*0.638,0.362
215,1:0,1:0,,*0.639,0.361
216,1:0,2:1,+,0.36,*0.64
217,1:0,1:0,,*0.542,0.458
218,1:0,1:0,,*0.729,0.271
219,1:0,2:1,+,0.222,*0.778
220,1:0,1:0,,*0.932,0.068
221,1:0,2:1,+,0.367,*0.633
222,1:0,2:1,+,0.171,*0.829
223,1:0,2:1,+,0.457,*0.543
224,1:0,1:0,,*0.597,0.403
225,1:0,2:1,+,0.319,*0.681
226,1:0,1:0,,*0.776,0.224
227,1:0,2:1,+,0.317,*0.683
228,1:0,2:1,+,0.275,*0.725
229,1:0,2:1,+,0.409,*0.591
230,1:0,1:0,,*0.725,0.275
231,1:0,1:0,,*0.911,0.089
232,1:0,1:0,,*0.653,0.347
233,1:0,2:1,+,0.179,*0.821
234,1:0,1:0,,*0.683,0.317
235,1:0,2:1,+,0.269,*0.731
236,1:0,2:1,+,0.134,*0.866
237,1:0,2:1,+,0.27,*0.73
238,1:0,1:0,,*0.775,0.225
239,1:0,2:1,+,0.274,*0.726
240,1:0,2:1,+,0.062,*0.938
241,1:0,1:0,,*0.682,0.318
242,1:0,2:1,+,0.27,*0.73
243,1:0,1:0,,*0.68,0.32
244,1:0,2:1,+,0.223,*0.777
245,1:0,2:1,+,0.269,*0.731
246,1:0,1:0,,*0.913,0.087
247,1:0,2:1,+,0.361,*0.639
248,1:0,1:0,,*0.68,0.32
249,1:0,2:1,+,0.498,*0.502
250,1:0,2:1,+,0.479,*0.521
251,1:0,2:1,+,0.499,*0.501
252,1:0,1:0,,*0.548,0.452
253,1:0,1:0,,*0.681,0.319
254,1:0,2:1,+,0.077,*0.923
255,1:0,2:1,+,0.362,*0.638
256,1:0,2:1,+,0.454,*0.546
257,1:0,1:0,,*0.975,0.025
258,1:0,2:1,+,0,*1
259,1:0,2:1,+,0.271,*0.729
260,1:0,1:0,,*0.635,0.365
261,1:0,1:0,,*0.823,0.177
262,1:0,1:0,,*0.955,0.045
263,1:0,1:0,,*0.726,0.274
264,1:0,2:1,+,0.177,*0.823
265,1:0,1:0,,*0.732,0.268
266,1:0,2:1,+,0.314,*0.686
267,1:0,2:1,+,0.409,*0.591
268,1:0,2:1,+,0.084,*0.916
269,1:0,2:1,+,0.314,*0.686
270,1:0,1:0,,*0.633,0.367
271,1:0,1:0,,*1,0
272,1:0,1:0,,*0.772,0.228
273,1:0,2:1,+,0.27,*0.73
274,1:0,1:0,,*0.592,0.408
275,1:0,1:0,,*0.957,0.043
276,1:0,1:0,,*0.683,0.317
277,1:0,1:0,,*0.653,0.347
278,1:0,1:0,,*0.96,0.04
279,1:0,1:0,,*0.551,0.449
280,1:0,1:0,,*0.827,0.173
281,1:0,1:0,,*0.696,0.304
282,1:0,2:1,+,0.179,*0.821
283,1:0,1:0,,*0.923,0.077
284,1:0,1:0,,*0.545,0.455
285,1:0,1:0,,*0.774,0.226
286,1:0,2:1,+,0.022,*0.978
287,1:0,1:0,,*0.595,0.405
288,1:0,1:0,,*0.983,0.017
289,1:0,2:1,+,0.274,*0.726
290,1:0,1:0,,*0.957,0.043
291,1:0,1:0,,*0.776,0.224
292,1:0,1:0,,*0.772,0.228
293,1:0,2:1,+,0.366,*0.634
294,1:0,1:0,,*0.821,0.179
295,1:0,2:1,+,0.076,*0.924
296,1:0,1:0,,*0.93,0.07
297,1:0,2:1,+,0.039,*0.961
298,1:0,1:0,,*0.551,0.449
299,1:0,2:1,+,0.135,*0.865
300,1:0,1:0,,*0.685,0.315
301,1:0,2:1,+,0.358,*0.642
302,1:0,2:1,+,0.499,*0.501
303,1:0,2:1,+,0.051,*0.949
304,1:0,2:1,+,0.454,*0.546
305,1:0,2:1,+,0.088,*0.912
306,1:0,2:1,+,0.045,*0.955
307,1:0,1:0,,*0.73,0.27
308,1:0,1:0,,*0.943,0.057
309,1:0,1:0,,*0.545,0.455
310,1:0,1:0,,*0.547,0.453
311,1:0,1:0,,*0.542,0.458
312,1:0,2:1,+,0.184,*0.816
313,1:0,1:0,,*0.821,0.179
314,1:0,2:1,+,0.429,*0.571
315,1:0,2:1,+,0.179,*0.821
316,1:0,2:1,+,0.015,*0.985
317,1:0,2:1,+,0.321,*0.679
318,1:0,1:0,,*0.763,0.237
319,1:0,1:0,,*0.961,0.039
320,1:0,1:0,,*0.501,0.499
321,1:0,2:1,+,0.408,*0.592
322,1:0,2:1,+,0.045,*0.955
323,1:0,1:0,,*0.943,0.057
324,1:0,1:0,,*0.591,0.409
325,1:0,2:1,+,0.179,*0.821
326,1:0,1:0,,*0.505,0.495
327,1:0,2:1,+,0.324,*0.676
328,1:0,1:0,,*0.773,0.227
329,1:0,1:0,,*0.768,0.232
330,1:0,1:0,,*0.588,0.412
331,1:0,1:0,,*0.946,0.054
332,1:0,1:0,,*0.549,0.451
333,1:0,2:1,+,0.133,*0.867
334,1:0,2:1,+,0.172,*0.828
335,1:0,2:1,+,0.226,*0.774
336,1:0,2:1,+,0.321,*0.679
337,1:0,2:1,+,0.411,*0.589
338,1:0,1:0,,*0.5,0.5
339,1:0,1:0,,*0.64,0.36
340,1:0,2:1,+,0.497,*0.503
341,1:0,2:1,+,0.045,*0.955
342,1:0,2:1,+,0.18,*0.82
343,1:0,1:0,,*0.552,0.448
344,1:0,1:0,,*0.826,0.174
345,1:0,1:0,,*0.641,0.359
346,1:0,2:1,+,0.402,*0.598
347,1:0,2:1,+,0.366,*0.634
348,1:0,1:0,,*0.635,0.365
349,1:0,1:0,,*0.721,0.279
350,1:0,1:0,,*0.964,0.036
351,1:0,2:1,+,0.319,*0.681
352,1:0,2:1,+,0.408,*0.592
353,1:0,1:0,,*0.539,0.461
354,1:0,1:0,,*0.565,0.435
355,1:0,2:1,+,0.315,*0.685
356,1:0,1:0,,*0.591,0.409
357,1:0,2:1,+,0.433,*0.567
358,1:0,1:0,,*0.728,0.272
359,1:0,1:0,,*0.546,0.454
360,1:0,2:1,+,0.454,*0.546
361,1:0,1:0,,*0.546,0.454
362,1:0,1:0,,*0.585,0.415
363,1:0,1:0,,*0.63,0.37
364,1:0,1:0,,*0.504,0.496
365,1:0,1:0,,*0.545,0.455
366,1:0,2:1,+,0.18,*0.82
367,1:0,1:0,,*0.681,0.319
368,1:0,2:1,+,0.18,*0.82
369,1:0,1:0,,*0.97,0.03
370,1:0,2:1,+,0.358,*0.642
371,1:0,2:1,+,0.453,*0.547
372,1:0,2:1,+,0.414,*0.586
373,1:0,1:0,,*0.592,0.408
374,1:0,1:0,,*0.932,0.068
375,1:0,2:1,+,0.368,*0.632
376,1:0,2:1,+,0.456,*0.544
377,1:0,2:1,+,0.274,*0.726
378,1:0,2:1,+,0.45,*0.55
379,1:0,2:1,+,0.405,*0.595
380,1:0,1:0,,*0.642,0.358
381,1:0,2:1,+,0.049,*0.951
382,1:0,2:1,+,0.314,*0.686
383,1:0,2:1,+,0.029,*0.971
384,1:0,1:0,,*0.503,0.497
385,1:0,1:0,,*0.643,0.357
386,1:0,2:1,+,0.182,*0.818
387,1:0,2:1,+,0.412,*0.588
388,1:0,2:1,+,0.364,*0.636
389,1:0,1:0,,*0.685,0.315
390,1:0,1:0,,*0.957,0.043
391,1:0,1:0,,*0.639,0.361
392,1:0,1:0,,*0.73,0.27
393,1:0,2:1,+,0.063,*0.937
394,1:0,2:1,+,0.372,*0.628
395,1:0,2:1,+,0.223,*0.777
396,1:0,1:0,,*0.549,0.451
397,1:0,1:0,,*0.774,0.226
398,1:0,1:0,,*0.595,0.405
399,1:0,2:1,+,0.416,*0.584
400,1:0,2:1,+,0.183,*0.817
401,1:0,1:0,,*0.506,0.494
402,1:0,1:0,,*0.637,0.363
403,1:0,1:0,,*0.502,0.498
404,1:0,2:1,+,0.088,*0.912
405,1:0,1:0,,*0.775,0.225
406,1:0,1:0,,*0.677,0.323
407,1:0,1:0,,*0.589,0.411
408,1:0,1:0,,*0.501,0.499
409,1:0,1:0,,*0.637,0.363
410,1:0,2:1,+,0.415,*0.585
411,1:0,1:0,,*0.596,0.404
412,1:0,1:0,,*0.718,0.282
413,1:0,1:0,,*0.949,0.051
414,1:0,2:1,+,0.363,*0.637
415,1:0,2:1,+,0.459,*0.541
416,1:0,1:0,,*0.939,0.061
417,1:0,1:0,,*0.59,0.41
418,1:0,1:0,,*0.639,0.361
419,1:0,2:1,+,0.318,*0.682
420,1:0,1:0,,*0.588,0.412
421,1:0,2:1,+,0.091,*0.909
422,1:0,1:0,,*0.727,0.273
423,1:0,2:1,+,0.045,*0.955
424,1:0,1:0,,*0.594,0.406
425,1:0,2:1,+,0.274,*0.726
426,1:0,2:1,+,0.408,*0.592
427,1:0,2:1,+,0.272,*0.728
428,1:0,1:0,,*0.594,0.406
429,1:0,2:1,+,0.434,*0.566
430,1:0,2:1,+,0.361,*0.639
431,1:0,2:1,+,0.408,*0.592
432,1:0,2:1,+,0.226,*0.774
433,1:0,2:1,+,0.068,*0.932
434,1:0,2:1,+,0.045,*0.955
435,1:0,1:0,,*0.865,0.135
436,1:0,1:0,,*0.767,0.233
437,1:0,1:0,,*0.637,0.363
438,1:0,1:0,,*0.774,0.226
439,1:0,2:1,+,0.061,*0.939
440,1:0,1:0,,*0.822,0.178
441,1:0,1:0,,*0.965,0.035
442,1:0,2:1,+,0.09,*0.91
443,1:0,1:0,,*0.683,0.317
444,1:0,2:1,+,0.458,*0.542
445,1:0,2:1,+,0.363,*0.637
446,1:0,2:1,+,0.26,*0.74
447,1:0,2:1,+,0.017,*0.983
448,1:0,2:1,+,0.352,*0.648
449,1:0,1:0,,*0.936,0.064
450,1:0,2:1,+,0.028,*0.972
451,1:0,2:1,+,0.026,*0.974
452,1:0,2:1,+,0.268,*0.732
453,1:0,1:0,,*0.597,0.403
454,1:0,1:0,,*0.683,0.317
455,1:0,2:1,+,0.03,*0.97
456,1:0,1:0,,*0.501,0.499
457,1:0,1:0,,*0.954,0.046
458,1:0,2:1,+,0.399,*0.601
459,1:0,2:1,+,0.039,*0.961
460,1:0,2:1,+,0.409,*0.591
461,1:0,2:1,+,0.02,*0.98
462,1:0,1:0,,*0.682,0.318
463,1:0,1:0,,*0.637,0.363
464,1:0,2:1,+,0.058,*0.942
465,1:0,2:1,+,0.05,*0.95
466,1:0,1:0,,*0.638,0.362
467,1:0,2:1,+,0.365,*0.635
468,1:0,2:1,+,0.365,*0.635
469,1:0,2:1,+,0.226,*0.774
470,1:0,2:1,+,0.415,*0.585
471,1:0,1:0,,*0.522,0.478
472,1:0,1:0,,*0.978,0.022
473,1:0,2:1,+,0.363,*0.637
474,1:0,2:1,+,0.315,*0.685
475,1:0,2:1,+,0.134,*0.866
476,1:0,1:0,,*0.862,0.138
477,1:0,2:1,+,0.407,*0.593
478,1:0,2:1,+,0.034,*0.966
479,1:0,1:0,,*0.732,0.268
480,1:0,1:0,,*0.967,0.033
481,1:0,2:1,+,0.18,*0.82
482,1:0,2:1,+,0.229,*0.771
483,1:0,1:0,,*0.606,0.394
484,1:0,2:1,+,0.053,*0.947
485,1:0,2:1,+,0.455,*0.545
486,1:0,2:1,+,0.13,*0.87
487,1:0,1:0,,*0.641,0.359
488,1:0,2:1,+,0.407,*0.593
489,1:0,2:1,+,0.183,*0.817
490,1:0,2:1,+,0.409,*0.591
491,1:0,1:0,,*0.723,0.277
492,1:0,2:1,+,0.405,*0.595
493,1:0,1:0,,*0.826,0.174
494,1:0,2:1,+,0.128,*0.872
495,1:0,2:1,+,0.184,*0.816
496,1:0,1:0,,*0.656,0.344
497,1:0,2:1,+,0.413,*0.587
498,1:0,1:0,,*0.776,0.224
499,1:0,2:1,+,0.413,*0.587
500,1:0,2:1,+,0.274,*0.726
501,1:0,1:0,,*0.978,0.022
502,1:0,2:1,+,0.043,*0.957
503,1:0,2:1,+,0.274,*0.726
504,1:0,2:1,+,0.071,*0.929
505,1:0,1:0,,*0.587,0.413
506,1:0,2:1,+,0.256,*0.744
507,1:0,1:0,,*0.723,0.277
508,1:0,1:0,,*0.943,0.057
509,1:0,1:0,,*0.637,0.363
510,1:0,2:1,+,0.363,*0.637
511,1:0,1:0,,*0.728,0.272
512,1:0,2:1,+,0.399,*0.601
513,1:0,1:0,,*0.727,0.273
514,1:0,1:0,,*0.818,0.182
515,1:0,1:0,,*0.822,0.178
516,1:0,1:0,,*0.685,0.315
517,1:0,2:1,+,0.497,*0.503
518,1:0,2:1,+,0.474,*0.526
519,1:0,2:1,+,0.316,*0.684
520,1:0,1:0,,*0.962,0.038
521,1:0,2:1,+,0.459,*0.541
522,1:0,1:0,,*0.59,0.41
523,1:0,2:1,+,0.061,*0.939
524,1:0,2:1,+,0.411,*0.589
525,1:0,1:0,,*0.865,0.135
526,1:0,1:0,,*0.728,0.272
527,1:0,2:1,+,0.27,*0.73
528,1:0,1:0,,*0.728,0.272
529,1:0,2:1,+,0.089,*0.911
530,1:0,2:1,+,0.363,*0.637
531,1:0,2:1,+,0.228,*0.772
532,1:0,1:0,,*0.913,0.087
533,1:0,2:1,+,0.37,*0.63
534,1:0,1:0,,*0.73,0.27
535,1:0,1:0,,*0.864,0.136
536,1:0,2:1,+,0.319,*0.681
537,1:0,2:1,+,0.455,*0.545
538,1:0,1:0,,*0.817,0.183
539,1:0,2:1,+,0.387,*0.613
540,1:0,2:1,+,0.45,*0.55
541,1:0,2:1,+,0.5,*0.5
542,1:0,2:1,+,0.094,*0.906
543,1:0,2:1,+,0.306,*0.694
544,1:0,2:1,+,0.365,*0.635
545,1:0,2:1,+,0.033,*0.967
546,1:0,1:0,,*0.544,0.456
547,1:0,2:1,+,0.457,*0.543
548,1:0,1:0,,*0.939,0.061
549,1:0,1:0,,*0.679,0.321
550,1:0,1:0,,*0.541,0.459
551,1:0,2:1,+,0.225,*0.775
552,1:0,2:1,+,0.361,*0.639
553,1:0,1:0,,*0.731,0.269
554,1:0,1:0,,*0.592,0.408
555,1:0,2:1,+,0.458,*0.542
556,1:0,2:1,+,0.343,*0.657
557,1:0,1:0,,*0.641,0.359
558,1:0,1:0,,*0.584,0.416
559,1:0,1:0,,*0.912,0.088
560,1:0,1:0,,*0.865,0.135
561,1:0,1:0,,*0.946,0.054
562,1:0,1:0,,*0.727,0.273
563,1:0,1:0,,*0.589,0.411
564,1:0,1:0,,*0.594,0.406
565,1:0,2:1,+,0.09,*0.91
566,1:0,2:1,+,0.138,*0.862
567,1:0,2:1,+,0.366,*0.634
568,1:0,2:1,+,0.353,*0.647
569,1:0,1:0,,*0.917,0.083
570,1:0,1:0,,*0.685,0.315
571,1:0,2:1,+,0.412,*0.588
572,1:0,2:1,+,0.046,*0.954
573,1:0,1:0,,*0.967,0.033
574,1:0,2:1,+,0.225,*0.775
575,1:0,1:0,,*0.941,0.059
576,1:0,2:1,+,0.432,*0.568
577,1:0,1:0,,*0.588,0.412
578,1:0,1:0,,*0.727,0.273
579,1:0,2:1,+,0.27,*0.73
580,1:0,1:0,,*0.723,0.277
581,1:0,2:1,+,0.493,*0.507
582,1:0,1:0,,*0.679,0.321
583,1:0,2:1,+,0.065,*0.935
584,1:0,2:1,+,0.363,*0.637
585,1:0,1:0,,*0.631,0.369
586,1:0,2:1,+,0.273,*0.727
587,1:0,1:0,,*0.586,0.414
588,1:0,1:0,,*0.682,0.318
589,1:0,2:1,+,0.046,*0.954
590,1:0,2:1,+,0.138,*0.862
591,1:0,1:0,,*0.595,0.405
592,1:0,2:1,+,0.033,*0.967
593,1:0,1:0,,*0.589,0.411
594,1:0,1:0,,*0.726,0.274
595,1:0,2:1,+,0.408,*0.592
596,1:0,2:1,+,0.456,*0.544
597,1:0,2:1,+,0.18,*0.82
598,1:0,1:0,,*0.547,0.453
599,1:0,1:0,,*0.636,0.364
600,1:0,2:1,+,0.406,*0.594
601,1:0,2:1,+,0.059,*0.941
602,1:0,2:1,+,0.411,*0.589
603,1:0,1:0,,*0.966,0.034
604,1:0,1:0,,*0.957,0.043
605,1:0,1:0,,*0.731,0.269
606,1:0,1:0,,*0.543,0.457
607,1:0,2:1,+,0.497,*0.503
608,1:0,2:1,+,0.457,*0.543
609,1:0,1:0,,*0.687,0.313
610,1:0,1:0,,*0.731,0.269
611,1:0,1:0,,*0.588,0.412
612,1:0,2:1,+,0.406,*0.594
613,1:0,1:0,,*0.947,0.053
614,1:0,2:1,+,0.021,*0.979
615,1:0,1:0,,*0.641,0.359
616,1:0,2:1,+,0.36,*0.64
617,1:0,2:1,+,0.407,*0.593
618,1:0,1:0,,*0.649,0.351
619,1:0,2:1,+,0.363,*0.637
620,1:0,1:0,,*0.64,0.36
621,1:0,1:0,,*0.724,0.276
622,1:0,2:1,+,0.322,*0.678
623,1:0,2:1,+,0.317,*0.683
624,1:0,1:0,,*0.774,0.226
625,1:0,2:1,+,0.415,*0.585
626,1:0,1:0,,*0.946,0.054
627,1:0,1:0,,*0.96,0.04
628,1:0,2:1,+,0.087,*0.913
629,1:0,1:0,,*0.909,0.091
630,1:0,1:0,,*0.938,0.062
631,1:0,1:0,,*0.775,0.225
632,1:0,1:0,,*0.973,0.027
633,1:0,2:1,+,0.081,*0.919
634,1:0,2:1,+,0.229,*0.771
635,1:0,1:0,,*0.683,0.317
636,1:0,2:1,+,0.039,*0.961
637,1:0,2:1,+,0.066,*0.934
638,1:0,1:0,,*0.634,0.366
639,1:0,2:1,+,0.407,*0.593
640,1:0,2:1,+,0.182,*0.818
641,1:0,2:1,+,0.224,*0.776
642,1:0,1:0,,*0.592,0.408
643,1:0,1:0,,*0.632,0.368
644,1:0,1:0,,*0.773,0.227
645,1:0,1:0,,*0.731,0.269
646,1:0,2:1,+,0.498,*0.502
647,1:0,1:0,,*0.727,0.273
648,1:0,1:0,,*0.727,0.273
649,1:0,2:1,+,0.033,*0.967
650,1:0,2:1,+,0.027,*0.973
651,1:0,2:1,+,0.044,*0.956
652,1:0,1:0,,*0.636,0.364
653,1:0,1:0,,*0.728,0.272
654,1:0,1:0,,*0.773,0.227
655,1:0,1:0,,*0.731,0.269
656,1:0,2:1,+,0.359,*0.641
657,1:0,1:0,,*0.548,0.452
658,1:0,2:1,+,0.027,*0.973
659,1:0,2:1,+,0.089,*0.911
660,1:0,2:1,+,0.317,*0.683
661,1:0,2:1,+,0.456,*0.544
662,1:0,2:1,+,0.454,*0.546
663,1:0,2:1,+,0.455,*0.545
664,1:0,1:0,,*0.944,0.056
665,1:0,1:0,,*0.642,0.358
666,1:0,1:0,,*0.685,0.315
667,1:0,1:0,,*0.776,0.224
668,1:0,2:1,+,0.066,*0.934
669,1:0,1:0,,*0.93,0.07
670,1:0,1:0,,*0.642,0.358
671,1:0,2:1,+,0.453,*0.547
672,1:0,1:0,,*0.96,0.04
673,1:0,2:1,+,0.46,*0.54
674,1:0,2:1,+,0.407,*0.593
675,1:0,1:0,,*0.893,0.107
676,1:0,1:0,,*0.633,0.367
677,1:0,2:1,+,0.45,*0.55
678,1:0,1:0,,*0.684,0.316
679,1:0,2:1,+,0.234,*0.766
680,1:0,1:0,,*0.586,0.414
681,1:0,2:1,+,0.268,*0.732
682,1:0,2:1,+,0.498,*0.502
