inst#	actual	predicted	error	distribution	
55	1:0	2:1	+	0.187	*0.813
56	1:0	2:1	+	0.163	*0.837
57	1:0	2:1	+	0.052	*0.948
58	1:0	2:1	+	0.126	*0.874
59	1:0	1:0		*0.559	0.441
60	1:0	2:1	+	0.44	*0.56
61	1:0	2:1	+	0.32	*0.68
62	1:0	2:1	+	0.395	*0.605
63	1:0	1:0		*0.585	0.415
64	1:0	1:0		*0.728	0.272
65	1:0	2:1	+	0.494	*0.506
66	1:0	2:1	+	0.294	*0.706
67	1:0	1:0		*0.932	0.068
68	1:0	2:1	+	0.415	*0.585
69	1:0	2:1	+	0.256	*0.744
70	1:0	1:0		*0.827	0.173
71	1:0	1:0		*0.677	0.323
72	1:0	2:1	+	0.076	*0.924
73	1:0	2:1	+	0.479	*0.521
74	1:0	1:0		*0.741	0.259
75	1:0	1:0		*0.605	0.395
76	1:0	1:0		*0.785	0.215
77	1:0	1:0		*0.737	0.263
78	1:0	2:1	+	0.405	*0.595
79	1:0	1:0		*0.713	0.287
80	1:0	1:0		*0.791	0.209
81	1:0	1:0		*0.661	0.339
82	1:0	2:1	+	0.3	*0.7
83	1:0	2:1	+	0.093	*0.907
84	1:0	1:0		*0.614	0.386
85	1:0	2:1	+	0.181	*0.819
86	1:0	2:1	+	0.141	*0.859
87	1:0	2:1	+	0.246	*0.754
88	1:0	2:1	+	0.365	*0.635
89	1:0	1:0		*0.609	0.391
90	1:0	1:0		*0.567	0.433
91	1:0	1:0		*0.557	0.443
92	1:0	1:0		*0.597	0.403
93	1:0	1:0		*0.743	0.257
94	1:0	2:1	+	0.399	*0.601
95	1:0	1:0		*0.626	0.374
96	1:0	2:1	+	0.05	*0.95
97	1:0	2:1	+	0.407	*0.593
98	1:0	1:0		*0.791	0.209
99	1:0	1:0		*0.635	0.365
100	1:0	2:1	+	0.318	*0.682
101	1:0	2:1	+	0.126	*0.874
102	1:0	2:1	+	0.232	*0.768
103	1:0	2:1	+	0.317	*0.683
104	1:0	1:0		*0.937	0.063
105	1:0	2:1	+	0.305	*0.695
106	1:0	2:1	+	0.339	*0.661
107	1:0	2:1	+	0.229	*0.771
108	1:0	1:0		*0.851	0.149
109	1:0	1:0		*0.607	0.393
110	1:0	2:1	+	0.46	*0.54
111	1:0	2:1	+	0.251	*0.749
112	1:0	1:0		*0.67	0.33
113	1:0	2:1	+	0.381	*0.619
114	1:0	1:0		*0.912	0.088
115	1:0	2:1	+	0.125	*0.875
116	1:0	2:1	+	0.337	*0.663
117	1:0	1:0		*0.726	0.274
118	1:0	1:0		*0.551	0.449
119	1:0	1:0		*0.69	0.31
120	1:0	1:0		*0.597	0.403
121	1:0	2:1	+	0.452	*0.548
122	1:0	1:0		*0.533	0.467
123	1:0	1:0		*0.565	0.435
124	1:0	2:1	+	0.458	*0.542
125	1:0	2:1	+	0.128	*0.872
126	1:0	1:0		*0.502	0.498
127	1:0	2:1	+	0.492	*0.508
128	1:0	1:0		*0.738	0.262
129	1:0	2:1	+	0.446	*0.554
130	1:0	2:1	+	0.469	*0.531
131	1:0	1:0		*0.838	0.162
132	1:0	2:1	+	0.454	*0.546
133	1:0	2:1	+	0.089	*0.911
134	1:0	1:0		*0.643	0.357
135	1:0	1:0		*0.587	0.413
136	1:0	1:0		*0.852	0.148
137	1:0	1:0		*0.527	0.473
138	1:0	2:1	+	0.456	*0.544
139	1:0	2:1	+	0.279	*0.721
140	1:0	2:1	+	0.242	*0.758
141	1:0	2:1	+	0.246	*0.754
142	1:0	2:1	+	0.313	*0.687
143	1:0	2:1	+	0.367	*0.633
144	1:0	2:1	+	0.334	*0.666
145	1:0	1:0		*0.77	0.23
146	1:0	1:0		*0.788	0.212
147	1:0	1:0		*0.721	0.279
148	1:0	1:0		*0.872	0.128
149	1:0	2:1	+	0.062	*0.938
150	1:0	1:0		*0.919	0.081
151	1:0	1:0		*0.918	0.082
152	1:0	1:0		*0.514	0.486
153	1:0	2:1	+	0.161	*0.839
154	1:0	1:0		*0.846	0.154
155	1:0	1:0		*0.762	0.238
156	1:0	2:1	+	0.175	*0.825
157	1:0	2:1	+	0.46	*0.54
158	1:0	2:1	+	0.11	*0.89
159	1:0	1:0		*0.62	0.38
160	1:0	2:1	+	0.282	*0.718
161	1:0	1:0		*0.63	0.37
162	1:0	2:1	+	0.446	*0.554
163	1:0	1:0		*0.862	0.138
164	1:0	2:1	+	0.334	*0.666
165	1:0	2:1	+	0.03	*0.97
166	1:0	1:0		*0.599	0.401
167	1:0	2:1	+	0.24	*0.76
168	1:0	2:1	+	0.318	*0.682
169	1:0	2:1	+	0.44	*0.56
170	1:0	1:0		*0.755	0.245
171	1:0	1:0		*0.732	0.268
172	1:0	2:1	+	0.379	*0.621
173	1:0	2:1	+	0.209	*0.791
174	1:0	2:1	+	0.305	*0.695
175	1:0	2:1	+	0.031	*0.969
176	1:0	1:0		*0.525	0.475
177	1:0	1:0		*0.752	0.248
178	1:0	1:0		*0.877	0.123
179	1:0	1:0		*0.631	0.369
180	1:0	2:1	+	0.469	*0.531
181	1:0	1:0		*0.659	0.341
182	1:0	1:0		*0.652	0.348
183	1:0	2:1	+	0.353	*0.647
184	1:0	1:0		*0.551	0.449
185	1:0	2:1	+	0.371	*0.629
186	1:0	1:0		*0.726	0.274
187	1:0	2:1	+	0.195	*0.805
188	1:0	1:0		*0.654	0.346
189	1:0	2:1	+	0.275	*0.725
190	1:0	1:0		*0.67	0.33
191	1:0	2:1	+	0.168	*0.832
192	1:0	1:0		*0.666	0.334
193	1:0	1:0		*0.633	0.367
194	1:0	1:0		*0.803	0.197
195	1:0	1:0		*0.614	0.386
196	1:0	2:1	+	0.121	*0.879
197	1:0	1:0		*0.812	0.188
198	1:0	2:1	+	0.121	*0.879
199	1:0	2:1	+	0.397	*0.603
200	1:0	2:1	+	0.483	*0.517
201	1:0	1:0		*0.851	0.149
202	1:0	2:1	+	0.261	*0.739
203	1:0	2:1	+	0.261	*0.739
204	1:0	1:0		*0.881	0.119
205	1:0	1:0		*0.852	0.148
206	1:0	1:0		*0.62	0.38
207	1:0	1:0		*0.65	0.35
208	1:0	1:0		*0.675	0.325
209	1:0	2:1	+	0.393	*0.607
210	1:0	2:1	+	0.077	*0.923
211	1:0	1:0		*0.69	0.31
212	1:0	1:0		*0.648	0.352
213	1:0	2:1	+	0.385	*0.615
214	1:0	1:0		*0.75	0.25
215	1:0	1:0		*0.856	0.144
216	1:0	2:1	+	0.24	*0.76
217	1:0	1:0		*0.573	0.427
218	1:0	1:0		*0.618	0.382
219	1:0	2:1	+	0.173	*0.827
220	1:0	1:0		*0.646	0.354
221	1:0	2:1	+	0.082	*0.918
222	1:0	2:1	+	0.298	*0.702
223	1:0	2:1	+	0.202	*0.798
224	1:0	1:0		*0.863	0.137
225	1:0	2:1	+	0.425	*0.575
226	1:0	1:0		*0.689	0.311
227	1:0	2:1	+	0.415	*0.585
228	1:0	1:0		*0.755	0.245
229	1:0	2:1	+	0.405	*0.595
230	1:0	1:0		*0.567	0.433
231	1:0	1:0		*0.932	0.068
232	1:0	1:0		*0.661	0.339
233	1:0	2:1	+	0.298	*0.702
234	1:0	1:0		*0.774	0.226
235	1:0	1:0		*0.508	0.492
236	1:0	1:0		*0.579	0.421
237	1:0	2:1	+	0.099	*0.901
238	1:0	2:1	+	0.373	*0.627
239	1:0	1:0		*0.92	0.08
240	1:0	1:0		*0.695	0.305
241	1:0	2:1	+	0.355	*0.645
242	1:0	2:1	+	0.217	*0.783
243	1:0	1:0		*0.67	0.33
244	1:0	2:1	+	0.282	*0.718
245	1:0	1:0		*0.87	0.13
246	1:0	2:1	+	0.427	*0.573
247	1:0	2:1	+	0.492	*0.508
248	1:0	2:1	+	0.122	*0.878
249	1:0	2:1	+	0.353	*0.647
250	1:0	1:0		*0.839	0.161
251	1:0	1:0		*0.677	0.323
252	1:0	2:1	+	0.13	*0.87
253	1:0	1:0		*0.508	0.492
254	1:0	2:1	+	0.419	*0.581
255	1:0	2:1	+	0.458	*0.542
256	1:0	2:1	+	0.277	*0.723
257	1:0	1:0		*0.704	0.296
258	1:0	2:1	+	0.03	*0.97
259	1:0	2:1	+	0.251	*0.749
260	1:0	1:0		*0.504	0.496
261	1:0	1:0		*0.818	0.182
262	1:0	1:0		*0.726	0.274
263	1:0	1:0		*0.635	0.365
264	1:0	2:1	+	0.5	*0.5
265	1:0	2:1	+	0.463	*0.537
266	1:0	1:0		*0.65	0.35
267	1:0	2:1	+	0.243	*0.757
268	1:0	2:1	+	0.16	*0.84
269	1:0	1:0		*0.844	0.156
270	1:0	1:0		*0.906	0.094
271	1:0	1:0		*0.973	0.027
272	1:0	2:1	+	0.415	*0.585
273	1:0	2:1	+	0.369	*0.631
274	1:0	2:1	+	0.5	*0.5
275	1:0	1:0		*0.514	0.486
276	1:0	1:0		*0.774	0.226
277	1:0	1:0		*0.641	0.359
278	1:0	2:1	+	0.328	*0.672
279	1:0	1:0		*0.563	0.437
280	1:0	1:0		*0.699	0.301
281	1:0	2:1	+	0.105	*0.895
282	1:0	2:1	+	0.068	*0.932
283	1:0	1:0		*0.782	0.218
284	1:0	2:1	+	0.315	*0.685
285	1:0	2:1	+	0.082	*0.918
286	1:0	2:1	+	0.117	*0.883
287	1:0	2:1	+	0.387	*0.613
288	1:0	1:0		*0.571	0.429
289	1:0	1:0		*0.579	0.421
290	1:0	1:0		*0.759	0.241
291	1:0	1:0		*0.718	0.282
292	1:0	2:1	+	0.119	*0.881
293	1:0	2:1	+	0.349	*0.651
294	1:0	1:0		*0.874	0.126
295	1:0	2:1	+	0.345	*0.655
296	1:0	2:1	+	0.359	*0.641
297	1:0	2:1	+	0.324	*0.676
298	1:0	2:1	+	0.365	*0.635
299	1:0	2:1	+	0.296	*0.704
300	1:0	1:0		*0.551	0.449
301	1:0	1:0		*0.67	0.33
302	1:0	2:1	+	0.173	*0.827
303	1:0	1:0		*0.533	0.467
304	1:0	2:1	+	0.173	*0.827
305	1:0	2:1	+	0.086	*0.914
306	1:0	1:0		*0.531	0.469
307	1:0	1:0		*0.69	0.31
308	1:0	1:0		*0.559	0.441
309	1:0	2:1	+	0.494	*0.506
310	1:0	1:0		*0.737	0.263
311	1:0	1:0		*0.885	0.115
312	1:0	2:1	+	0.28	*0.72
313	1:0	1:0		*0.713	0.287
314	1:0	1:0		*0.591	0.409
315	1:0	2:1	+	0.284	*0.716
316	1:0	2:1	+	0.203	*0.797
317	1:0	1:0		*0.7	0.3
318	1:0	1:0		*0.593	0.407
319	1:0	1:0		*0.69	0.31
320	1:0	1:0		*0.664	0.336
321	1:0	1:0		*0.678	0.322
322	1:0	2:1	+	0.242	*0.758
323	1:0	2:1	+	0.403	*0.597
324	1:0	2:1	+	0.5	*0.5
325	1:0	1:0		*0.622	0.378
326	1:0	2:1	+	0.371	*0.629
327	1:0	1:0		*0.523	0.477
328	1:0	1:0		*0.806	0.194
329	1:0	1:0		*0.523	0.477
330	1:0	2:1	+	0.208	*0.792
331	1:0	1:0		*0.86	0.14
332	1:0	2:1	+	0.417	*0.583
333	1:0	2:1	+	0.429	*0.571
334	1:0	1:0		*0.756	0.244
335	1:0	1:0		*0.718	0.282
336	1:0	2:1	+	0.454	*0.546
337	1:0	1:0		*0.506	0.494
338	1:0	1:0		*0.557	0.443
339	1:0	2:1	+	0.434	*0.566
340	1:0	1:0		*0.828	0.172
341	1:0	1:0		*0.585	0.415
342	1:0	1:0		*0.646	0.354
343	1:0	2:1	+	0.315	*0.685
344	1:0	2:1	+	0.353	*0.647
345	1:0	2:1	+	0.365	*0.635
346	1:0	2:1	+	0.165	*0.835
347	1:0	2:1	+	0.446	*0.554
348	1:0	1:0		*0.504	0.496
349	1:0	2:1	+	0.155	*0.845
350	1:0	1:0		*0.77	0.23
351	1:0	2:1	+	0.411	*0.589
352	1:0	2:1	+	0.27	*0.73
353	1:0	1:0		*0.543	0.457
354	1:0	2:1	+	0.475	*0.525
355	1:0	2:1	+	0.137	*0.863
356	1:0	2:1	+	0.097	*0.903
357	1:0	2:1	+	0.465	*0.535
358	1:0	1:0		*0.565	0.435
359	1:0	1:0		*0.787	0.213
360	1:0	1:0		*0.573	0.427
361	1:0	2:1	+	0.24	*0.76
362	1:0	2:1	+	0.371	*0.629
363	1:0	1:0		*0.553	0.447
364	1:0	1:0		*0.705	0.295
365	1:0	1:0		*0.718	0.282
366	1:0	2:1	+	0.156	*0.844
367	1:0	2:1	+	0.456	*0.544
368	1:0	1:0		*0.512	0.488
369	1:0	1:0		*0.581	0.419
370	1:0	2:1	+	0.191	*0.809
371	1:0	2:1	+	0.487	*0.513
372	1:0	1:0		*0.756	0.244
373	1:0	1:0		*0.637	0.363
374	1:0	2:1	+	0.369	*0.631
375	1:0	1:0		*0.801	0.199
376	1:0	1:0		*0.731	0.269
377	1:0	1:0		*0.69	0.31
378	1:0	2:1	+	0.467	*0.533
379	1:0	1:0		*0.773	0.227
380	1:0	1:0		*0.878	0.122
381	1:0	1:0		*0.65	0.35
382	1:0	2:1	+	0.203	*0.797
383	1:0	2:1	+	0.256	*0.744
384	1:0	1:0		*0.74	0.26
385	1:0	1:0		*0.828	0.172
386	1:0	1:0		*0.782	0.218
387	1:0	2:1	+	0.365	*0.635
388	1:0	2:1	+	0.363	*0.637
389	1:0	1:0		*0.788	0.212
390	1:0	1:0		*0.902	0.098
391	1:0	2:1	+	0.411	*0.589
392	1:0	2:1	+	0.265	*0.735
393	1:0	2:1	+	0.129	*0.871
394	1:0	1:0		*0.81	0.19
395	1:0	2:1	+	0.072	*0.928
396	1:0	1:0		*0.795	0.205
397	1:0	2:1	+	0.133	*0.867
398	1:0	1:0		*0.68	0.32
399	1:0	1:0		*0.697	0.303
400	1:0	2:1	+	0.167	*0.833
401	1:0	2:1	+	0.389	*0.611
402	1:0	2:1	+	0.067	*0.933
403	1:0	2:1	+	0.487	*0.513
404	1:0	2:1	+	0.05	*0.95
405	1:0	1:0		*0.743	0.257
406	1:0	2:1	+	0.253	*0.747
407	1:0	2:1	+	0.471	*0.529
408	1:0	1:0		*0.662	0.338
409	1:0	1:0		*0.845	0.155
410	1:0	2:1	+	0.251	*0.749
411	1:0	2:1	+	0.143	*0.857
412	1:0	2:1	+	0.379	*0.621
413	1:0	2:1	+	0.485	*0.515
414	1:0	1:0		*0.801	0.199
415	1:0	1:0		*0.847	0.153
416	1:0	2:1	+	0.142	*0.858
417	1:0	2:1	+	0.187	*0.813
418	1:0	2:1	+	0.454	*0.546
419	1:0	1:0		*0.525	0.475
420	1:0	2:1	+	0.371	*0.629
421	1:0	2:1	+	0.369	*0.631
422	1:0	2:1	+	0.353	*0.647
423	1:0	2:1	+	0.242	*0.758
424	1:0	1:0		*0.595	0.405
425	1:0	1:0		*0.579	0.421
426	1:0	2:1	+	0.473	*0.527
427	1:0	1:0		*0.845	0.155
428	1:0	2:1	+	0.141	*0.859
429	1:0	1:0		*0.595	0.405
430	1:0	2:1	+	0.448	*0.552
431	1:0	2:1	+	0.214	*0.786
432	1:0	1:0		*0.655	0.345
433	1:0	1:0		*0.519	0.481
434	1:0	2:1	+	0.146	*0.854
435	1:0	1:0		*0.654	0.346
436	1:0	1:0		*0.643	0.357
437	1:0	2:1	+	0.022	*0.978
438	1:0	1:0		*0.68	0.32
439	1:0	2:1	+	0.196	*0.804
440	1:0	1:0		*0.882	0.118
441	1:0	1:0		*0.747	0.253
442	1:0	2:1	+	0.078	*0.922
443	1:0	1:0		*0.788	0.212
444	1:0	2:1	+	0.369	*0.631
445	1:0	2:1	+	0.251	*0.749
446	1:0	2:1	+	0.431	*0.569
447	1:0	2:1	+	0.084	*0.916
448	1:0	2:1	+	0.265	*0.735
449	1:0	1:0		*0.543	0.457
450	1:0	2:1	+	0.107	*0.893
451	1:0	2:1	+	0.217	*0.783
452	1:0	2:1	+	0.199	*0.801
453	1:0	2:1	+	0.237	*0.763
454	1:0	2:1	+	0.27	*0.73
455	1:0	2:1	+	0.175	*0.825
456	1:0	1:0		*0.725	0.275
457	1:0	2:1	+	0.332	*0.668
458	1:0	1:0		*0.755	0.245
459	1:0	1:0		*0.583	0.417
460	1:0	1:0		*0.889	0.111
461	1:0	1:0		*0.541	0.459
462	1:0	1:0		*0.888	0.112
463	1:0	1:0		*0.675	0.325
464	1:0	2:1	+	0.284	*0.716
465	1:0	2:1	+	0.058	*0.942
466	1:0	1:0		*0.904	0.096
467	1:0	2:1	+	0.332	*0.668
468	1:0	1:0		*0.746	0.254
469	1:0	2:1	+	0.335	*0.665
470	1:0	2:1	+	0.477	*0.523
471	1:0	1:0		*0.643	0.357
472	1:0	2:1	+	0.494	*0.506
473	1:0	1:0		*0.773	0.227
474	1:0	1:0		*0.516	0.484
475	1:0	2:1	+	0.067	*0.933
476	1:0	1:0		*0.9	0.1
477	1:0	1:0		*0.68	0.32
478	1:0	2:1	+	0.335	*0.665
479	1:0	2:1	+	0.399	*0.601
480	1:0	1:0		*0.595	0.405
481	1:0	1:0		*0.805	0.195
482	1:0	2:1	+	0.191	*0.809
483	1:0	1:0		*0.933	0.067
484	1:0	2:1	+	0.427	*0.573
485	1:0	2:1	+	0.286	*0.714
486	1:0	1:0		*0.535	0.465
487	1:0	1:0		*0.702	0.298
488	1:0	2:1	+	0.261	*0.739
489	1:0	2:1	+	0.27	*0.73
490	1:0	2:1	+	0.411	*0.589
491	1:0	1:0		*0.805	0.195
492	1:0	1:0		*0.585	0.415
493	1:0	1:0		*0.659	0.341
494	1:0	1:0		*0.713	0.287
495	1:0	2:1	+	0.121	*0.879
496	1:0	1:0		*0.63	0.37
497	1:0	2:1	+	0.087	*0.913
498	1:0	1:0		*0.516	0.484
499	1:0	2:1	+	0.272	*0.728
500	1:0	1:0		*0.541	0.459
501	1:0	1:0		*0.664	0.336
502	1:0	2:1	+	0.421	*0.579
503	1:0	2:1	+	0.353	*0.647
504	1:0	1:0		*0.775	0.225
505	1:0	2:1	+	0.377	*0.623
506	1:0	2:1	+	0.302	*0.698
507	1:0	1:0		*0.889	0.111
508	1:0	2:1	+	0.487	*0.513
509	1:0	1:0		*0.601	0.399
510	1:0	2:1	+	0.176	*0.824
511	1:0	2:1	+	0.12	*0.88
512	1:0	1:0		*0.541	0.459
513	1:0	2:1	+	0.373	*0.627
514	1:0	1:0		*0.601	0.399
515	1:0	1:0		*0.982	0.018
516	1:0	1:0		*0.583	0.417
517	1:0	1:0		*0.527	0.473
518	1:0	1:0		*0.662	0.338
519	1:0	1:0		*0.555	0.445
520	1:0	1:0		*0.644	0.356
521	1:0	2:1	+	0.369	*0.631
522	1:0	2:1	+	0.141	*0.859
523	1:0	2:1	+	0.072	*0.928
524	1:0	2:1	+	0.403	*0.597
525	1:0	2:1	+	0.377	*0.623
526	1:0	1:0		*0.69	0.31
527	1:0	2:1	+	0.214	*0.786
528	1:0	2:1	+	0.24	*0.76
529	1:0	2:1	+	0.047	*0.953
530	1:0	1:0		*0.791	0.209
531	1:0	2:1	+	0.258	*0.742
532	1:0	1:0		*0.81	0.19
533	1:0	2:1	+	0.477	*0.523
534	1:0	1:0		*0.806	0.194
535	1:0	1:0		*0.911	0.089
536	1:0	2:1	+	0.479	*0.521
537	1:0	2:1	+	0.24	*0.76
538	1:0	1:0		*0.583	0.417
539	1:0	1:0		*0.512	0.488
540	1:0	2:1	+	0.318	*0.682
541	1:0	2:1	+	0.463	*0.537
542	1:0	2:1	+	0.395	*0.605
543	1:0	2:1	+	0.477	*0.523
544	1:0	1:0		*0.902	0.098
545	1:0	2:1	+	0.193	*0.807
546	1:0	2:1	+	0.287	*0.713
547	1:0	1:0		*0.755	0.245
548	1:0	2:1	+	0.291	*0.709
549	1:0	1:0		*0.622	0.378
550	1:0	1:0		*0.519	0.481
551	1:0	2:1	+	0.454	*0.546
552	1:0	1:0		*0.74	0.26
553	1:0	1:0		*0.664	0.336
554	1:0	1:0		*0.721	0.279
555	1:0	2:1	+	0.369	*0.631
556	1:0	2:1	+	0.098	*0.902
557	1:0	2:1	+	0.173	*0.827
558	1:0	2:1	+	0.12	*0.88
559	1:0	1:0		*0.894	0.106
560	1:0	1:0		*0.76	0.24
561	1:0	1:0		*0.728	0.272
562	1:0	1:0		*0.873	0.127
563	1:0	2:1	+	0.177	*0.823
564	1:0	2:1	+	0.371	*0.629
565	1:0	2:1	+	0.185	*0.815
566	1:0	1:0		*0.659	0.341
567	1:0	2:1	+	0.415	*0.585
568	1:0	2:1	+	0.467	*0.533
569	1:0	1:0		*0.795	0.205
570	1:0	2:1	+	0.179	*0.821
571	1:0	2:1	+	0.109	*0.891
572	1:0	2:1	+	0.046	*0.954
573	1:0	1:0		*0.827	0.173
574	1:0	2:1	+	0.196	*0.804
575	1:0	1:0		*0.833	0.167
576	1:0	1:0		*0.851	0.149
577	1:0	2:1	+	0.263	*0.737
578	1:0	1:0		*0.557	0.443
579	1:0	2:1	+	0.095	*0.905
580	1:0	2:1	+	0.162	*0.838
581	1:0	2:1	+	0.318	*0.682
582	1:0	2:1	+	0.375	*0.625
583	1:0	1:0		*0.563	0.437
584	1:0	1:0		*0.854	0.146
585	1:0	2:1	+	0.421	*0.579
586	1:0	1:0		*0.527	0.473
587	1:0	2:1	+	0.347	*0.653
588	1:0	2:1	+	0.373	*0.627
589	1:0	1:0		*0.514	0.486
590	1:0	1:0		*0.611	0.389
591	1:0	2:1	+	0.367	*0.633
592	1:0	2:1	+	0.206	*0.794
593	1:0	1:0		*0.756	0.244
594	1:0	1:0		*0.747	0.253
595	1:0	2:1	+	0.097	*0.903
596	1:0	1:0		*0.713	0.287
597	1:0	2:1	+	0.189	*0.811
598	1:0	2:1	+	0.101	*0.899
599	1:0	1:0		*0.626	0.374
600	1:0	1:0		*0.661	0.339
601	1:0	2:1	+	0.32	*0.68
602	1:0	2:1	+	0.018	*0.982
603	1:0	2:1	+	0.361	*0.639
604	1:0	1:0		*0.697	0.303
605	1:0	1:0		*0.872	0.128
606	1:0	2:1	+	0.345	*0.655
607	1:0	1:0		*0.873	0.127
608	1:0	1:0		*0.593	0.407
609	1:0	2:1	+	0.317	*0.683
610	1:0	1:0		*0.682	0.318
611	1:0	1:0		*0.94	0.06
612	1:0	1:0		*0.712	0.288
613	1:0	1:0		*0.504	0.496
614	1:0	2:1	+	0.438	*0.562
615	1:0	2:1	+	0.265	*0.735
616	1:0	1:0		*0.589	0.411
617	1:0	1:0		*0.539	0.461
618	1:0	1:0		*0.762	0.238
619	1:0	1:0		*0.796	0.204
620	1:0	2:1	+	0.345	*0.655
621	1:0	2:1	+	0.093	*0.907
622	1:0	2:1	+	0.093	*0.907
623	1:0	1:0		*0.707	0.293
624	1:0	1:0		*0.599	0.401
625	1:0	1:0		*0.756	0.244
626	1:0	1:0		*0.569	0.431
627	1:0	1:0		*0.839	0.161
628	1:0	2:1	+	0.087	*0.913
629	1:0	2:1	+	0.193	*0.807
630	1:0	2:1	+	0.479	*0.521
631	1:0	1:0		*0.77	0.23
632	1:0	2:1	+	0.187	*0.813
633	1:0	1:0		*0.502	0.498
634	1:0	1:0		*0.763	0.237
635	1:0	1:0		*0.565	0.435
636	1:0	2:1	+	0.111	*0.889
637	1:0	2:1	+	0.434	*0.566
638	1:0	1:0		*0.718	0.282
639	1:0	1:0		*0.589	0.411
640	1:0	2:1	+	0.393	*0.607
641	1:0	2:1	+	0.296	*0.704
642	1:0	2:1	+	0.367	*0.633
643	1:0	1:0		*0.559	0.441
644	1:0	2:1	+	0.498	*0.502
645	1:0	2:1	+	0.458	*0.542
646	1:0	2:1	+	0.492	*0.508
647	1:0	1:0		*0.631	0.369
648	1:0	1:0		*0.907	0.093
649	1:0	2:1	+	0.245	*0.755
650	1:0	2:1	+	0.367	*0.633
651	1:0	1:0		*0.543	0.457
652	1:0	1:0		*0.648	0.352
653	1:0	2:1	+	0.339	*0.661
654	1:0	2:1	+	0.421	*0.579
655	1:0	2:1	+	0.458	*0.542
656	1:0	1:0		*0.68	0.32
657	1:0	1:0		*0.747	0.253
658	1:0	2:1	+	0.088	*0.912
659	1:0	2:1	+	0.046	*0.954
660	1:0	1:0		*0.589	0.411
661	1:0	1:0		*0.516	0.484
662	1:0	2:1	+	0.215	*0.785
663	1:0	1:0		*0.616	0.384
664	1:0	2:1	+	0.361	*0.639
665	1:0	1:0		*0.618	0.382
666	1:0	2:1	+	0.467	*0.533
667	1:0	1:0		*0.715	0.285
668	1:0	2:1	+	0.203	*0.797
669	1:0	1:0		*0.72	0.28
670	1:0	1:0		*0.567	0.433
671	1:0	1:0		*0.743	0.257
672	1:0	1:0		*0.832	0.168
673	1:0	1:0		*0.535	0.465
674	1:0	1:0		*0.707	0.293
675	1:0	2:1	+	0.487	*0.513
676	1:0	1:0		*0.506	0.494
677	1:0	1:0		*0.827	0.173
678	1:0	2:1	+	0.205	*0.795
679	1:0	2:1	+	0.421	*0.579
680	1:0	2:1	+	0.156	*0.844
681	1:0	1:0		*0.62	0.38
682	1:0	2:1	+	0.467	*0.533
683	1:0	2:1	+	0.335	*0.665
684	1:0	1:0		*0.682	0.318
685	1:0	2:1	+	0.487	*0.513
686	1:0	2:1	+	0.279	*0.721
687	1:0	2:1	+	0.242	*0.758
688	1:0	1:0		*0.62	0.38
689	1:0	2:1	+	0.363	*0.637
690	1:0	2:1	+	0.117	*0.883
691	1:0	1:0		*0.718	0.282
692	1:0	1:0		*0.605	0.395
693	1:0	1:0		*0.541	0.459
694	1:0	2:1	+	0.423	*0.577
695	1:0	2:1	+	0.403	*0.597
696	1:0	1:0		*0.597	0.403
697	1:0	2:1	+	0.347	*0.653
