inst#	actual	predicted	error	distribution	
144	1:0	1:0		*0.986	0.014
145	1:0	2:1	+	0.488	*0.512
146	1:0	1:0		*1	0
147	1:0	1:0		*1	0
148	1:0	1:0		*1	0
149	1:0	1:0		*1	0
150	1:0	2:1	+	0.472	*0.528
151	1:0	2:1	+	0.441	*0.559
152	1:0	1:0		*1	0
153	1:0	2:1	+	0	*1
154	1:0	1:0		*1	0
155	1:0	1:0		*0.982	0.018
156	1:0	2:1	+	0.014	*0.986
157	1:0	2:1	+	0.019	*0.981
158	1:0	1:0		*1	0
159	1:0	2:1	+	0.001	*0.999
160	1:0	1:0		*1	0
161	1:0	1:0		*1	0
162	1:0	1:0		*1	0
163	1:0	1:0		*1	0
164	1:0	1:0		*0.641	0.359
165	1:0	2:1	+	0	*1
166	1:0	1:0		*0.982	0.018
167	1:0	1:0		*0.98	0.02
168	1:0	1:0		*1	0
169	1:0	1:0		*1	0
170	1:0	1:0		*1	0
171	1:0	2:1	+	0.405	*0.595
172	1:0	2:1	+	0	*1
173	1:0	1:0		*1	0
174	1:0	1:0		*0.682	0.318
175	1:0	1:0		*0.975	0.025
176	1:0	1:0		*1	0
177	1:0	2:1	+	0	*1
178	1:0	1:0		*0.676	0.324
179	1:0	2:1	+	0	*1
180	1:0	2:1	+	0.022	*0.978
181	1:0	1:0		*1	0
182	1:0	2:1	+	0	*1
183	1:0	2:1	+	0.353	*0.647
184	1:0	1:0		*1	0
185	1:0	2:1	+	0.014	*0.986
186	1:0	1:0		*0.973	0.027
187	1:0	1:0		*1	0
188	1:0	1:0		*0.973	0.027
189	1:0	1:0		*1	0
190	1:0	1:0		*0.985	0.015
191	1:0	1:0		*0.985	0.015
192	1:0	2:1	+	0	*1
193	1:0	2:1	+	0.015	*0.985
194	1:0	1:0		*1	0
195	1:0	2:1	+	0	*1
196	1:0	1:0		*1	0
197	1:0	1:0		*1	0
1	2:1	1:0	+	*0.558	0.442
2	2:1	1:0	+	*1	0
3	2:1	1:0	+	*1	0
4	2:1	2:1		0	*1
5	2:1	2:1		0	*1
6	2:1	1:0	+	*0.986	0.014
7	2:1	1:0	+	*0.968	0.032
8	2:1	2:1		0	*1
9	2:1	1:0	+	*0.992	0.008
10	2:1	2:1		0	*1
11	2:1	2:1		0	*1
12	2:1	2:1		0	*1
13	2:1	2:1		0	*1
14	2:1	1:0	+	*1	0
15	2:1	1:0	+	*0.967	0.033
16	2:1	2:1		0	*1
17	2:1	2:1		0	*1
18	2:1	2:1		0.013	*0.987
19	2:1	2:1		0	*1
20	2:1	2:1		0.01	*0.99
21	2:1	2:1		0	*1
22	2:1	2:1		0.384	*0.616
23	2:1	1:0	+	*0.992	0.008
24	2:1	2:1		0	*1
25	2:1	2:1		0	*1
26	2:1	2:1		0	*1
27	2:1	2:1		0.4	*0.6
28	2:1	2:1		0	*1
29	2:1	2:1		0	*1
30	2:1	2:1		0	*1
31	2:1	2:1		0	*1
32	2:1	2:1		0.012	*0.988
33	2:1	2:1		0	*1
34	2:1	2:1		0.434	*0.566
35	2:1	2:1		0.024	*0.976
36	2:1	1:0	+	*1	0
37	2:1	1:0	+	*1	0
38	2:1	1:0	+	*1	0
39	2:1	2:1		0	*1
40	2:1	1:0	+	*1	0
41	2:1	2:1		0.044	*0.956
42	2:1	1:0	+	*0.977	0.023
43	2:1	2:1		0	*1
44	2:1	1:0	+	*0.99	0.01
45	2:1	2:1		0	*1
46	2:1	1:0	+	*0.993	0.007
47	2:1	2:1		0.013	*0.987
48	2:1	2:1		0	*1
49	2:1	2:1		0	*1
50	2:1	2:1		0.012	*0.988
51	2:1	2:1		0.02	*0.98
52	2:1	2:1		0	*1
53	2:1	1:0	+	*1	0
54	2:1	2:1		0	*1
55	2:1	1:0	+	*0.977	0.023
56	2:1	2:1		0.301	*0.699
57	2:1	2:1		0.001	*0.999
58	2:1	1:0	+	*0.986	0.014
59	2:1	2:1		0	*1
60	2:1	1:0	+	*1	0
61	2:1	1:0	+	*1	0
62	2:1	1:0	+	*1	0
63	2:1	2:1		0.017	*0.983
64	2:1	2:1		0	*1
65	2:1	2:1		0	*1
66	2:1	2:1		0	*1
67	2:1	1:0	+	*0.693	0.307
68	2:1	2:1		0.461	*0.539
69	2:1	2:1		0.021	*0.979
70	2:1	1:0	+	*1	0
71	2:1	2:1		0	*1
72	2:1	1:0	+	*1	0
73	2:1	2:1		0	*1
74	2:1	2:1		0.001	*0.999
75	2:1	2:1		0	*1
76	2:1	1:0	+	*0.594	0.406
77	2:1	2:1		0	*1
78	2:1	2:1		0	*1
79	2:1	1:0	+	*0.979	0.021
80	2:1	1:0	+	*1	0
81	2:1	2:1		0	*1
82	2:1	1:0	+	*0.566	0.434
83	2:1	2:1		0	*1
84	2:1	1:0	+	*0.979	0.021
85	2:1	2:1		0	*1
86	2:1	2:1		0	*1
87	2:1	2:1		0	*1
88	2:1	1:0	+	*1	0
89	2:1	2:1		0.036	*0.964
90	2:1	2:1		0	*1
91	2:1	1:0	+	*0.981	0.019
92	2:1	1:0	+	*0.979	0.021
93	2:1	2:1		0	*1
94	2:1	2:1		0	*1
95	2:1	2:1		0	*1
96	2:1	2:1		0	*1
97	2:1	1:0	+	*0.992	0.008
98	2:1	2:1		0	*1
99	1:0	1:0		*0.986	0.014
100	1:0	2:1	+	0.019	*0.981
101	1:0	2:1	+	0	*1
102	1:0	2:1	+	0	*1
103	1:0	1:0		*1	0
104	1:0	1:0		*1	0
105	1:0	2:1	+	0	*1
106	1:0	1:0		*1	0
107	1:0	2:1	+	0	*1
108	1:0	2:1	+	0	*1
109	1:0	1:0		*1	0
110	1:0	2:1	+	0.014	*0.986
111	1:0	1:0		*1	0
112	1:0	1:0		*0.646	0.354
113	1:0	1:0		*1	0
114	1:0	1:0		*0.985	0.015
115	1:0	1:0		*1	0
116	1:0	1:0		*0.984	0.016
117	1:0	2:1	+	0.013	*0.987
118	1:0	1:0		*1	0
119	1:0	1:0		*0.97	0.03
120	1:0	1:0		*0.974	0.026
121	1:0	2:1	+	0	*1
122	1:0	1:0		*0.971	0.029
123	1:0	1:0		*0.541	0.459
124	1:0	1:0		*0.99	0.01
125	1:0	1:0		*1	0
126	1:0	2:1	+	0.017	*0.983
127	1:0	1:0		*1	0
128	1:0	1:0		*0.959	0.041
129	1:0	1:0		*0.968	0.032
130	1:0	1:0		*1	0
131	1:0	2:1	+	0.478	*0.522
132	1:0	1:0		*1	0
133	1:0	1:0		*1	0
134	1:0	2:1	+	0.301	*0.699
135	1:0	1:0		*0.978	0.022
136	1:0	2:1	+	0	*1
137	1:0	1:0		*1	0
138	1:0	1:0		*1	0
139	1:0	2:1	+	0.011	*0.989
140	1:0	1:0		*1	0
141	1:0	2:1	+	0.286	*0.714
142	1:0	1:0		*1	0
143	1:0	2:1	+	0.02	*0.98
144	1:0	1:0		*1	0
145	1:0	1:0		*0.994	0.006
146	1:0	1:0		*1	0
147	1:0	1:0		*1	0
148	1:0	1:0		*1	0
149	1:0	2:1	+	0.023	*0.977
150	1:0	1:0		*1	0
151	1:0	1:0		*1	0
152	1:0	1:0		*0.575	0.425
153	1:0	2:1	+	0.001	*0.999
154	1:0	1:0		*1	0
155	1:0	2:1	+	0.01	*0.99
156	1:0	1:0		*0.974	0.026
157	1:0	1:0		*1	0
158	1:0	1:0		*1	0
159	1:0	1:0		*0.677	0.323
160	1:0	2:1	+	0	*1
161	1:0	2:1	+	0.014	*0.986
162	1:0	2:1	+	0.017	*0.983
163	1:0	2:1	+	0.448	*0.552
164	1:0	2:1	+	0	*1
165	1:0	2:1	+	0	*1
166	1:0	1:0		*0.986	0.014
167	1:0	1:0		*0.991	0.009
168	1:0	1:0		*0.973	0.027
169	1:0	1:0		*1	0
170	1:0	1:0		*0.999	0.001
171	1:0	1:0		*0.981	0.019
172	1:0	1:0		*0.597	0.403
173	1:0	1:0		*0.986	0.014
174	1:0	1:0		*1	0
175	1:0	1:0		*0.981	0.019
176	1:0	2:1	+	0.027	*0.973
177	1:0	2:1	+	0.238	*0.762
178	1:0	2:1	+	0.414	*0.586
179	1:0	1:0		*1	0
180	1:0	2:1	+	0.018	*0.982
181	1:0	1:0		*1	0
182	1:0	2:1	+	0	*1
183	1:0	2:1	+	0.358	*0.642
184	1:0	1:0		*1	0
185	1:0	1:0		*1	0
186	1:0	2:1	+	0	*1
187	1:0	1:0		*0.999	0.001
188	1:0	1:0		*0.987	0.013
189	1:0	1:0		*1	0
190	1:0	1:0		*1	0
191	1:0	2:1	+	0	*1
192	1:0	2:1	+	0.488	*0.512
193	1:0	1:0		*0.54	0.46
194	1:0	2:1	+	0.024	*0.976
195	1:0	1:0		*1	0
196	1:0	2:1	+	0.482	*0.518
197	1:0	2:1	+	0	*1
1	2:1	2:1		0	*1
2	2:1	2:1		0	*1
3	2:1	2:1		0	*1
4	2:1	2:1		0	*1
5	2:1	2:1		0	*1
6	2:1	1:0	+	*1	0
7	2:1	2:1		0.017	*0.983
8	2:1	2:1		0.018	*0.982
9	2:1	1:0	+	*0.988	0.012
10	2:1	2:1		0	*1
11	2:1	1:0	+	*0.999	0.001
12	2:1	2:1		0	*1
13	2:1	1:0	+	*0.972	0.028
14	2:1	2:1		0.458	*0.542
15	2:1	1:0	+	*1	0
16	2:1	1:0	+	*0.526	0.474
17	2:1	1:0	+	*0.989	0.011
18	2:1	1:0	+	*1	0
19	2:1	1:0	+	*1	0
20	2:1	1:0	+	*1	0
21	2:1	2:1		0	*1
22	2:1	2:1		0.458	*0.542
23	2:1	1:0	+	*0.977	0.023
24	2:1	1:0	+	*1	0
25	2:1	1:0	+	*1	0
26	2:1	2:1		0.426	*0.574
27	2:1	1:0	+	*1	0
28	2:1	2:1		0	*1
29	2:1	2:1		0.468	*0.532
30	2:1	2:1		0	*1
31	2:1	1:0	+	*1	0
32	2:1	2:1		0.5	*0.5
33	2:1	1:0	+	*1	0
34	2:1	2:1		0	*1
35	2:1	2:1		0	*1
36	2:1	1:0	+	*1	0
37	2:1	2:1		0	*1
38	2:1	2:1		0	*1
39	2:1	2:1		0.011	*0.989
40	2:1	1:0	+	*1	0
41	2:1	1:0	+	*1	0
42	2:1	1:0	+	*1	0
43	2:1	1:0	+	*0.977	0.023
44	2:1	2:1		0	*1
45	2:1	2:1		0	*1
46	2:1	2:1		0	*1
47	2:1	2:1		0	*1
48	2:1	1:0	+	*1	0
49	2:1	1:0	+	*0.504	0.496
50	2:1	2:1		0.017	*0.983
51	2:1	1:0	+	*1	0
52	2:1	2:1		0.386	*0.614
53	2:1	2:1		0	*1
54	2:1	2:1		0	*1
55	2:1	2:1		0	*1
56	2:1	1:0	+	*0.538	0.462
57	2:1	1:0	+	*1	0
58	2:1	2:1		0.01	*0.99
59	2:1	1:0	+	*0.973	0.027
60	2:1	2:1		0	*1
61	2:1	2:1		0.322	*0.678
62	2:1	1:0	+	*0.987	0.013
63	2:1	1:0	+	*0.981	0.019
64	2:1	2:1		0.015	*0.985
65	2:1	2:1		0	*1
66	2:1	2:1		0	*1
67	2:1	2:1		0	*1
68	2:1	2:1		0	*1
69	2:1	1:0	+	*0.972	0.028
70	2:1	2:1		0.015	*0.985
71	2:1	1:0	+	*1	0
72	2:1	2:1		0	*1
73	2:1	1:0	+	*0.592	0.408
74	2:1	1:0	+	*0.972	0.028
75	2:1	1:0	+	*1	0
76	2:1	1:0	+	*0.526	0.474
77	2:1	1:0	+	*0.972	0.028
78	2:1	2:1		0.018	*0.982
79	2:1	1:0	+	*1	0
80	2:1	2:1		0	*1
81	2:1	2:1		0.009	*0.991
82	2:1	2:1		0.019	*0.981
83	2:1	1:0	+	*0.985	0.015
84	2:1	1:0	+	*1	0
85	2:1	2:1		0.027	*0.973
86	2:1	2:1		0	*1
87	2:1	2:1		0	*1
88	2:1	2:1		0	*1
89	2:1	1:0	+	*0.972	0.028
90	2:1	2:1		0	*1
91	2:1	1:0	+	*0.969	0.031
92	2:1	2:1		0.386	*0.614
93	2:1	2:1		0	*1
94	2:1	2:1		0	*1
95	2:1	1:0	+	*0.53	0.47
96	2:1	2:1		0	*1
97	2:1	2:1		0	*1
98	2:1	1:0	+	*0.978	0.022
99	1:0	1:0		*0.989	0.011
100	1:0	2:1	+	0.016	*0.984
101	1:0	1:0		*1	0
102	1:0	1:0		*0.999	0.001
103	1:0	1:0		*1	0
104	1:0	2:1	+	0.02	*0.98
105	1:0	2:1	+	0	*1
106	1:0	2:1	+	0.014	*0.986
107	1:0	2:1	+	0	*1
108	1:0	2:1	+	0.386	*0.614
109	1:0	1:0		*0.985	0.015
110	1:0	1:0		*1	0
111	1:0	1:0		*1	0
112	1:0	2:1	+	0	*1
113	1:0	1:0		*1	0
114	1:0	2:1	+	0.008	*0.992
115	1:0	1:0		*1	0
116	1:0	1:0		*1	0
117	1:0	1:0		*1	0
118	1:0	1:0		*1	0
119	1:0	2:1	+	0.01	*0.99
120	1:0	2:1	+	0	*1
121	1:0	1:0		*1	0
122	1:0	1:0		*1	0
123	1:0	1:0		*0.575	0.425
124	1:0	1:0		*0.999	0.001
125	1:0	1:0		*1	0
126	1:0	2:1	+	0.024	*0.976
127	1:0	1:0		*1	0
128	1:0	1:0		*1	0
129	1:0	1:0		*1	0
130	1:0	2:1	+	0.389	*0.611
131	1:0	1:0		*0.999	0.001
132	1:0	1:0		*0.989	0.011
133	1:0	1:0		*0.988	0.012
134	1:0	2:1	+	0	*1
135	1:0	1:0		*0.99	0.01
136	1:0	1:0		*1	0
137	1:0	1:0		*1	0
138	1:0	2:1	+	0.008	*0.992
139	1:0	1:0		*0.973	0.027
140	1:0	2:1	+	0.014	*0.986
141	1:0	2:1	+	0.398	*0.602
142	1:0	1:0		*1	0
143	1:0	1:0		*1	0
144	1:0	1:0		*1	0
145	1:0	2:1	+	0.018	*0.982
146	1:0	1:0		*1	0
147	1:0	1:0		*1	0
148	1:0	2:1	+	0.011	*0.989
149	1:0	1:0		*1	0
150	1:0	1:0		*1	0
151	1:0	1:0		*0.98	0.02
152	1:0	1:0		*0.978	0.022
153	1:0	2:1	+	0	*1
154	1:0	2:1	+	0	*1
155	1:0	1:0		*1	0
156	1:0	1:0		*0.979	0.021
157	1:0	1:0		*1	0
158	1:0	2:1	+	0.458	*0.542
159	1:0	2:1	+	0	*1
160	1:0	1:0		*1	0
161	1:0	1:0		*1	0
162	1:0	2:1	+	0.017	*0.983
163	1:0	1:0		*0.541	0.459
164	1:0	1:0		*0.977	0.023
165	1:0	1:0		*0.984	0.016
166	1:0	1:0		*1	0
167	1:0	1:0		*1	0
168	1:0	2:1	+	0	*1
169	1:0	2:1	+	0.482	*0.518
170	1:0	1:0		*1	0
171	1:0	1:0		*1	0
172	1:0	2:1	+	0.025	*0.975
173	1:0	1:0		*1	0
174	1:0	1:0		*0.982	0.018
175	1:0	1:0		*1	0
176	1:0	1:0		*0.569	0.431
177	1:0	1:0		*1	0
178	1:0	2:1	+	0.014	*0.986
179	1:0	1:0		*1	0
180	1:0	1:0		*1	0
181	1:0	1:0		*0.989	0.011
182	1:0	1:0		*0.976	0.024
183	1:0	1:0		*1	0
184	1:0	1:0		*0.988	0.012
185	1:0	1:0		*0.514	0.486
186	1:0	1:0		*0.557	0.443
187	1:0	1:0		*0.976	0.024
188	1:0	1:0		*1	0
189	1:0	2:1	+	0.008	*0.992
190	1:0	2:1	+	0.014	*0.986
191	1:0	1:0		*1	0
192	1:0	1:0		*0.99	0.01
193	1:0	2:1	+	0	*1
194	1:0	1:0		*1	0
195	1:0	1:0		*1	0
196	1:0	2:1	+	0.332	*0.668
1	2:1	2:1		0.001	*0.999
2	2:1	2:1		0.02	*0.98
3	2:1	1:0	+	*1	0
4	2:1	2:1		0.013	*0.987
5	2:1	2:1		0.016	*0.984
6	2:1	1:0	+	*0.979	0.021
7	2:1	2:1		0.014	*0.986
8	2:1	1:0	+	*1	0
9	2:1	2:1		0	*1
10	2:1	1:0	+	*0.971	0.029
11	2:1	2:1		0	*1
12	2:1	2:1		0	*1
13	2:1	2:1		0	*1
14	2:1	2:1		0	*1
15	2:1	1:0	+	*0.973	0.027
16	2:1	2:1		0	*1
17	2:1	1:0	+	*1	0
18	2:1	2:1		0	*1
19	2:1	2:1		0	*1
20	2:1	2:1		0	*1
21	2:1	1:0	+	*0.971	0.029
22	2:1	2:1		0	*1
23	2:1	1:0	+	*0.999	0.001
24	2:1	1:0	+	*0.549	0.451
25	2:1	2:1		0	*1
26	2:1	1:0	+	*0.982	0.018
27	2:1	2:1		0	*1
28	2:1	2:1		0.02	*0.98
29	2:1	2:1		0	*1
30	2:1	2:1		0	*1
31	2:1	2:1		0.487	*0.513
32	2:1	1:0	+	*0.978	0.022
33	2:1	1:0	+	*0.999	0.001
34	2:1	2:1		0.011	*0.989
35	2:1	2:1		0	*1
36	2:1	1:0	+	*0.591	0.409
37	2:1	2:1		0	*1
38	2:1	2:1		0	*1
39	2:1	2:1		0	*1
40	2:1	2:1		0	*1
41	2:1	2:1		0	*1
42	2:1	2:1		0	*1
43	2:1	2:1		0	*1
44	2:1	1:0	+	*0.985	0.015
45	2:1	2:1		0	*1
46	2:1	2:1		0	*1
47	2:1	2:1		0	*1
48	2:1	2:1		0.336	*0.664
49	2:1	2:1		0.471	*0.529
50	2:1	2:1		0.383	*0.617
51	2:1	2:1		0.017	*0.983
52	2:1	1:0	+	*0.977	0.023
53	2:1	1:0	+	*0.618	0.382
54	2:1	2:1		0.374	*0.626
55	2:1	2:1		0.011	*0.989
56	2:1	2:1		0.016	*0.984
57	2:1	2:1		0.476	*0.524
58	2:1	2:1		0.476	*0.524
59	2:1	2:1		0.023	*0.977
60	2:1	1:0	+	*0.983	0.017
61	2:1	1:0	+	*0.979	0.021
62	2:1	1:0	+	*1	0
63	2:1	2:1		0	*1
64	2:1	2:1		0	*1
65	2:1	1:0	+	*0.982	0.018
66	2:1	1:0	+	*1	0
67	2:1	2:1		0.022	*0.978
68	2:1	2:1		0.392	*0.608
69	2:1	1:0	+	*1	0
70	2:1	1:0	+	*1	0
71	2:1	1:0	+	*0.971	0.029
72	2:1	2:1		0	*1
73	2:1	1:0	+	*1	0
74	2:1	2:1		0.428	*0.572
75	2:1	2:1		0	*1
76	2:1	2:1		0.424	*0.576
77	2:1	2:1		0	*1
78	2:1	2:1		0	*1
79	2:1	1:0	+	*0.587	0.413
80	2:1	2:1		0.487	*0.513
81	2:1	2:1		0.014	*0.986
82	2:1	2:1		0	*1
83	2:1	2:1		0	*1
84	2:1	2:1		0	*1
85	2:1	2:1		0.017	*0.983
86	2:1	2:1		0	*1
87	2:1	1:0	+	*0.966	0.034
88	2:1	2:1		0.436	*0.564
89	2:1	2:1		0	*1
90	2:1	2:1		0	*1
91	2:1	2:1		0.013	*0.987
92	2:1	1:0	+	*0.979	0.021
93	2:1	2:1		0.374	*0.626
94	2:1	2:1		0	*1
95	2:1	1:0	+	*0.982	0.018
96	2:1	2:1		0	*1
97	2:1	2:1		0	*1
98	2:1	2:1		0.02	*0.98
99	1:0	2:1	+	0.02	*0.98
100	1:0	2:1	+	0.011	*0.989
101	1:0	1:0		*0.591	0.409
102	1:0	1:0		*1	0
103	1:0	1:0		*1	0
104	1:0	1:0		*1	0
105	1:0	2:1	+	0.383	*0.617
106	1:0	1:0		*0.999	0.001
107	1:0	2:1	+	0	*1
108	1:0	2:1	+	0.013	*0.987
109	1:0	1:0		*1	0
110	1:0	2:1	+	0.011	*0.989
111	1:0	2:1	+	0	*1
112	1:0	1:0		*1	0
113	1:0	2:1	+	0.388	*0.612
114	1:0	1:0		*1	0
115	1:0	2:1	+	0.394	*0.606
116	1:0	2:1	+	0	*1
117	1:0	1:0		*0.978	0.022
118	1:0	2:1	+	0.342	*0.658
119	1:0	2:1	+	0	*1
120	1:0	2:1	+	0.011	*0.989
121	1:0	2:1	+	0.017	*0.983
122	1:0	2:1	+	0.428	*0.572
123	1:0	1:0		*1	0
124	1:0	2:1	+	0.388	*0.612
125	1:0	2:1	+	0.444	*0.556
126	1:0	2:1	+	0.016	*0.984
127	1:0	1:0		*0.977	0.023
128	1:0	1:0		*1	0
129	1:0	2:1	+	0.018	*0.982
130	1:0	1:0		*1	0
131	1:0	1:0		*1	0
132	1:0	1:0		*1	0
133	1:0	2:1	+	0.471	*0.529
134	1:0	1:0		*0.999	0.001
135	1:0	1:0		*0.967	0.033
136	1:0	1:0		*0.535	0.465
137	1:0	1:0		*1	0
138	1:0	2:1	+	0.389	*0.611
139	1:0	2:1	+	0	*1
140	1:0	1:0		*1	0
141	1:0	2:1	+	0.369	*0.631
142	1:0	1:0		*1	0
143	1:0	2:1	+	0.012	*0.988
144	1:0	2:1	+	0.014	*0.986
145	1:0	1:0		*1	0
146	1:0	1:0		*0.983	0.017
147	1:0	2:1	+	0	*1
148	1:0	1:0		*0.591	0.409
149	1:0	2:1	+	0.02	*0.98
150	1:0	1:0		*1	0
151	1:0	2:1	+	0.02	*0.98
152	1:0	1:0		*0.971	0.029
153	1:0	1:0		*1	0
154	1:0	2:1	+	0.014	*0.986
155	1:0	2:1	+	0.016	*0.984
156	1:0	2:1	+	0	*1
157	1:0	2:1	+	0.012	*0.988
158	1:0	2:1	+	0.471	*0.529
159	1:0	2:1	+	0.428	*0.572
160	1:0	2:1	+	0	*1
161	1:0	2:1	+	0.018	*0.982
162	1:0	2:1	+	0.016	*0.984
163	1:0	2:1	+	0.374	*0.626
164	1:0	2:1	+	0	*1
165	1:0	1:0		*1	0
166	1:0	2:1	+	0.011	*0.989
167	1:0	2:1	+	0.476	*0.524
168	1:0	2:1	+	0	*1
169	1:0	1:0		*0.982	0.018
170	1:0	2:1	+	0	*1
171	1:0	2:1	+	0.389	*0.611
172	1:0	1:0		*1	0
173	1:0	2:1	+	0.394	*0.606
174	1:0	1:0		*1	0
175	1:0	2:1	+	0.383	*0.617
176	1:0	1:0		*1	0
177	1:0	2:1	+	0.012	*0.988
178	1:0	1:0		*0.971	0.029
179	1:0	1:0		*0.999	0.001
180	1:0	1:0		*0.976	0.024
181	1:0	2:1	+	0.014	*0.986
182	1:0	1:0		*1	0
183	1:0	1:0		*0.979	0.021
184	1:0	2:1	+	0.017	*0.983
185	1:0	1:0		*1	0
186	1:0	2:1	+	0.428	*0.572
187	1:0	1:0		*0.986	0.014
188	1:0	1:0		*0.986	0.014
189	1:0	2:1	+	0	*1
190	1:0	1:0		*1	0
191	1:0	2:1	+	0	*1
192	1:0	1:0		*0.999	0.001
193	1:0	1:0		*0.982	0.018
194	1:0	1:0		*1	0
195	1:0	1:0		*1	0
196	1:0	2:1	+	0.394	*0.606
1	2:1	2:1		0.408	*0.592
2	2:1	2:1		0.022	*0.978
3	2:1	2:1		0.016	*0.984
4	2:1	2:1		0.01	*0.99
